case_number,year,century,sex,age,country,area,location,activity,type_attack,species
2016.07.28,2016,XXI,Male,Unknown,Australia,Western Australia,Near Albany,Kayaking,Boating,White shark
2016.07.27,2016,XXI,Male,Adult,Usa,Florida,"Florida Keys, Monroe County",Lobstering,Provoked,"Nurse shark, 4'"
2016.07.26,2016,XXI,Male,Teen,Australia,New South Wales,"Sharpes Beach, Ballina",Surfing,Unprovoked,Unknown
2016.07.24,2016,XXI,Male,Young,Japan,Kochi Prefecture,Irino Beach,Surfing,Unprovoked,Unknown
2016.07.23.b,2016,XXI,Male,Adult,Australia,Tasmania,Clifton Beach,Surfing,Unprovoked,Unknown
2016.07.23.a,2016,XXI,Male,Unknown,Bahamas,Abaco Islands,Green Turtle Cay,Spearfishing,Unprovoked,"Bull shark, 6'"
2016.07.20,2016,XXI,Male,Adult,Australia,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,Provoked,"reef shark, 1m"
2016.07.17,2016,XXI,Unknown,Unknown,Usa,Alabama,8 miles off Mobile,Fishing in Alabama Deep Fishing Rodeo,Boating,"Tiger shark, 10' "
2016.07.16.b,2016,XXI,Female,Children,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Unknown
2016.07.16.a,2016,XXI,Female,Teen,Usa,Florida,"New Smyrna Beach, Volusia County",Unknown,Unprovoked,Unknown
2016.07.15,2016,XXI,Male,Unknown,Usa,South Carolina,"North Myrtle Beach, Horry County",Swimming,Unprovoked,Unknown
2016.07.14.4,2016,XXI,Male,Unknown,Bahamas,Unknown,Tiger Beach,Scuba Diving,Unprovoked,"Lemon shark, 9'"
2016.07.08.R,2016,XXI,Female,Children,Spain,Canary Islands,"Las Teresitas, Tenerife",Wading,Unprovoked,Angel shark
2016.07.08,2016,XXI,Male,Unknown,Usa,California,"Capitola, Santa Cruz County",Fishing for squid,Boating,White shark
2016.07.07.b,2016,XXI,Male,Senior,Usa,Massachusetts,"Off Gloucester, Essec County",Fishing,Provoked,dogfish shark
2016.07.07.a,2016,XXI,Male,Unknown,Usa,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing for sharks,Boating,White shark
2016.07.06,2016,XXI,Female,Adult,Usa,Florida,"Melbourne Beach, Brevard County",Swimming,Unprovoked,Unknown
2016.07.04,2016,XXI,Male,Adult,Australia,Queensland,Palm Cove ,Fishing,Provoked,Tawny nurse shark
2016.06.27,2016,XXI,Male,Adult,Usa,South Carolina,Sullivan's Island,Unknown,Unprovoked,3' to 4' shark
2016.06.25,2016,XXI,Male,Teen,Usa,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,Unprovoked,Unknown
2016.06.24,2016,XXI,Male,Senior,Columbia,Isla Provedencia,Unknown,Scuba Diving,Unprovoked,"Caribbean reef shark, 4.5'"
2016.06.23,2016,XXI,Male,Adult,South Africa,Western Cape Province,Ryspunt,Spearfishing,Unprovoked,White shark
2016.06.21.b,2016,XXI,Male,Adult,Usa,South Carolina,"North Myrtle Beach, Horry County",Floating,Unprovoked,3' to 5' shark
2016.06.21.a,2016,XXI,Male,Unknown,Usa,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,Unprovoked,Unknown
2016.06.15.b,2016,XXI,Male,Unknown,Usa,Hawaii,"Kalapaki Beach, Kauai",Surfing,Unprovoked,3' to 4' shark
2016.06.15.a,2016,XXI,Male,Teen,Australia,Western Australia,Coral Bay,Spearfishing,Provoked,5' shark
2016.06.14,2016,XXI,Female,Children,Usa,Texas,"Pirates Beach, Galveston",Floating in tube,Unprovoked,3' to 4' shark
2016.06.11,2016,XXI,Male,Teen,Usa,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,Unprovoked,3' shark
2016.06.07,2016,XXI,Male,Young,Usa,South Carolina,"Folly Beach, Charleston County",Surfing,Invalid,Said to involve an 8' shark but more likely damage caused by debris
2016.06.05.b,2016,XXI,Male,Senior,Usa,Florida,"Flagler Beach, Flagler County",Swimming,Unprovoked,Unknown
2016.06.05.a,2016,XXI,Female,Senior,Australia,Western Australia,Mindarie,Diving,Unprovoked,3+ m shark
2016.06.04,2016,XXI,Male,Young,Egypt,Suez,Ain Sokhna,Swimming,Unprovoked,Mako shark
2016.06.02.b,2016,XXI,Male,Unknown,Australia,New South Wales,Kingscliff,Spearfishing,Unprovoked,Bronze whaler sharks x 3
2016.06.02.a,2016,XXI,Male,Unknown,New Caledonia,Unknown," C�te-Blanche, Noum�a ",Kite surfing,Unprovoked,3 m shark
2016.05.31,2016,XXI,Male,Young,Australia,Western Australia,"Falcon Beach, Mandurah",Surfing,Unprovoked,White shark
2016.05.29.b,2016,XXI,Female,Adult,Usa,California,"Corona Del Mar, Newport, Orange County",Swimming,Unprovoked,Unknown
2016.05.29.a,2016,XXI,Male,Teen,Usa,Florida,"Neptune, Duval County",Swimming,Unprovoked,5' shark
2016.05.22,2016,XXI,Female,Senior,Usa,Florida,"Vero Beach, Indian River County",Swimming,Unprovoked,Unknown
2016.05.21.b,2016,XXI,Female,Young,Usa,Florida,"St. Petersburg, Pinellas County",Swimming,Unprovoked,"Bull shark, 4' to 5'"
2016.05.21.a,2016,XXI,Female,Teen,Usa,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,Unprovoked,Unknown
2016.05.18,2016,XXI,Male,Adult,Usa,Florida,"Ponte Vedra, St. Johns County",Swimming,Unprovoked,"Blacktip shark, 4'"
2016.05.15,2016,XXI,Female,Young,Usa,Florida,"Boca Raton, Palm Beach County",Teasing a shark,Provoked,"Nurse shark, 2'"
2016.05.03,2016,XXI,Male,Senior,Usa,Hawaii,"Wailea Beach, Maui",Floating,Unprovoked,Unknown
2016.05.02,2016,XXI,Male,Adult,New Zealand,North Island,Cormandel,Fishing,Provoked,"Mako shark, 1.5 m [5'] "
2016.04.25,2016,XXI,Male,Young,Indonesia,Bali,Balian,Surfing,Unprovoked,"Bull shark, 6'"
2016.04.23,2016,XXI,Male,Teen,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Unknown
2016.04.22,2016,XXI,Male,Unknown,South Africa,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,Unprovoked,White shark
2016.04.19,2016,XXI,Male,Teen,Australia,New South Wales,"First Sun Beach, Byron Bay",Swimming,Unprovoked,Wobbegong shark
2016.04.18,2016,XXI,Male,Young,French Polynesia,Tuamotos,Makemo Atoll,Spearfishing,Provoked,"Grey reef shark, 2 m"
2016.04.13,2016,XXI,Male,Young,Usa,Florida,"Off Singer Island, Palm Beach County",Spearfishing,Unprovoked,"Bull shark, 7'"
2016.04.09,2016,XXI,Female,Senior,New Caledonia,Grand Terre,Poe Beach,Walking,Unprovoked,"Tiger shark, 2.5 m"
2016.04.08,2016,XXI,Male,Senior,Cape Verde,Boa Vista Island,Unknown,Unknown,Invalid,Shark involvement not confirmed
2016.04.07.b,2016,XXI,Male,Adult,Usa,Florida,"Florida Keys, Monroe County",Fishing,Unprovoked,5' to 6' shark
2016.04.07.a,2016,XXI,Male,Unknown,Usa,Florida,"Corners Beach, Jupiter, Palm Beach County",SUP,Invalid,Unknown
2016.03.31,2016,XXI,Female,Adult,Usa,Hawaii,"Olowalu, Maui",Snorkeling,Unprovoked,Unknown
2016.03.30,2016,XXI,Male,Young,Australia,New South Wales,Bombo Beach,Surfing,Unprovoked,Unknown
2016.03.28.b,2016,XXI,Male,Teen,Usa,Florida,"Fort Myers Beach, Lee County",Unknown,Unprovoked,Shark involvement not confirmed
2016.03.28.a,2016,XXI,Male,Adult,Australia,New South Wales,North Cronulla Beach,Surfing,Unprovoked,Unknown
2016.03.26,2016,XXI,Male,Children,Bahamas,Unknown,Unknown,Unknown,Provoked,"Nurse shark, 2.5-ft"
2016.03.13,2016,XXI,Unknown,Unknown,Usa,California,"Bolsa Chica State Park, Orange County",Surfing,Invalid,Shark involvement not confirmed
2016.03.11,2016,XXI,Male,Teen,Usa,Florida,"Vero Beach, St. Lucie County",Body surfing,Unprovoked,Unknown
2016.03.10,2016,XXI,Male,Adult,Fiji,Vanua Levu,Unknown,Diving for beche-de-mer,Unprovoked,Unknown
2016.03.04,2016,XXI,Male,Teen,Usa,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Unknown,Unprovoked,Unknown
2016.03.03.R,2016,XXI,Male,Unknown,Australia,South Australia,Wrights Bay,Fishing,Unprovoked,Bronze whaler
2016.03.02,2016,XXI,Male,Adult,Brazil,Santa Catarina State,Escalerio Beach Balne�rio Cambori�,Swimming,Unprovoked,Sandtiger shark
2016.02.22,2016,XXI,Male,Young,New Caledonia,South Province,"Ricaudy Reef, Noumea",Kite surfing,Unprovoked,Unknown
2016.02.19,2016,XXI,Male,Adult,New Caledonia,South Province,Yate,Spearfishing,Unprovoked,Unknown
2016.02.12,2016,XXI,Female,Unknown,Dominican Republic,Altagracia Province,"Bavaro Beach, Punta Cana",Wading,Unprovoked,Unknown
2016.02.10.R,2016,XXI,Male,Senior,Cayman Islands,Grand Cayman,Stingray City Bar,Feeding stingrays?,Invalid,No shark involvement
2016.02.10,2016,XXI,Male,Unknown,Australia,Tasmania,Nettley Bay,Surfing,Invalid,No shark involvement
2016.02.05,2016,XXI,Female,Adult,Australia,Queensland,Stradbroke Island,Walking,Unprovoked,Unknown
2016.02.04,2016,XXI,Male,Adult,Australia,New South Wales,Hams Beach,Windsurfing,Unprovoked,Unknown
2016.01.29,2016,XXI,Male,Unknown,South Africa,KwaZulu-Natal,Unknown,Kayak fishing,Boating,Unknown
2016.01.28,2016,XXI,Male,Unknown,Usa,Hawaii,"Hanalei Bay, Kauai",Surfing,Unprovoked,"Reef shark, 5'"
2016.01.25,2016,XXI,Female,Teen,Usa,Hawaii,"Hanalei Bay, Kauai, ",Surfing,Unprovoked,Unknown
2016.01.24.b,2016,XXI,Male,Unknown,Usa,Texas,Off Surfside,Spearfishing,Unprovoked,Bull sharks x 2
2016.01.24.a,2016,XXI,Male,Unknown,United Arab Emirates,Fujairah Emirate,35 miles off Fujairah,Fishing,Boating,Mako shark
2016.01.23,2016,XXI,Male,Adult,Usa,Hawaii,"Wailea Beach, Maui",Paddle boarding,Unprovoked,"Tiger shark, 14'"
2016.01.11.R,2016,XXI,Male,Unknown,Australia,Queensland,"Happy Valley Beach, Caloundra",Surfing,Unprovoked,Wobbegong shark
2016.01.05,2016,XXI,Male,Teen,Australia,Queensland,Heron Island,Wading,Unprovoked,Blacktip shark
2016.01.02,2016,XXI,Male,Adult,Australia,Queensland,Miall Island,Spearfishing,Unprovoked,3 m shark
2015.12.26,2015,XXI,Male,Unknown,South Africa,KwaZulu-Natal,Westbrook Beach,Kayak Fishing,Boating,"White shark, 3 m"
2015.12.25,2015,XXI,Female,Adult,Spain,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,Unprovoked,"Silky shark, 6.5'"
2015.12.22,2015,XXI,Male,Senior,Usa,Hawaii,La'aloa Beach Park,Paddle boarding,Unprovoked,9' shark
2015.12.21.b,2015,XXI,Male,Adult,Australia,New South Wales,Bondi Beach,Surfing,Unprovoked,"Bronze whaler shark, 6'"
2015.12.21.a,2015,XXI,Male,Adult,Brazil,Pernambuco,Fernano de Noronha,Scuba diving,Unprovoked,"Tiger shark, 1.5 m "
2015.12.19,2015,XXI,Male,Senior,Aruba,Unknown,Boat capsized,Sea disaster,Unprovoked,Unknown
2015.12.13,2015,XXI,Unknown,Unknown,Australia,New South Wales,Lake Macquarie,Fishing,Boating,"White shark, 3.5 m"
2015.12.11,2015,XXI,Male,Young,Bahamas,Unknown,Off Andros Island,Lobster fishing,Unprovoked,Bull shark
2015.12.08,2015,XXI,Female,Young,South Africa,Eastern Cape Province,Mpande,Swimming / Wading,Unprovoked,Unknown
2015.11.16,2015,XXI,Male,Unknown,Usa,Florida,"Playalinda Beach, Brevard County",Surfing,Unprovoked,Unknown
2015.11.15.b,2015,XXI,Female,Unknown,Usa,Florida,"Palm Beach, Palm Beach County",Swimming,Unprovoked,Unknown
2015.11.15.a,2015,XXI,Male,Young,Usa,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,Unprovoked,"Spinner shark, 7'"
2015.11.10,2015,XXI,Male,Young,Australia,New South Wales,East Ballina,Surfing,Unprovoked,"Bull shark, 2.8 to 3.1 m"
2015.12.23,2015,XXI,Female,Children,Usa,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,Invalid,Shark involvement not confirmed
2015.11.03,2015,XXI,Male,Adult,Usa,Hawaii,"Kehena Beach, Hawaii",Swimming,Unprovoked,Unknown
2015.11.01.b,2015,XXI,Female,Young,Usa,Florida,"Cocoa Beach, Brevard  County",Wading,Unprovoked,3' to 5' shark
2015.11.01.a,2015,XXI,Male,Teen,Mozambique,Inhambane Province,Maxixe,Fishing,Unprovoked,Unknown
2015.10.30,2015,XXI,Male,Adult,Australia,Western Australia,Bald Island,Spearfishing,Unprovoked,Unknown
2015.10.28.a,2015,XXI,Male,Children,Usa,Hawaii,"Malaka, Oahu",Body boarding,Unprovoked,Unknown
2015.10.25,2015,XXI,Male,Adult,South Africa,Western Cape Province,Stil Bay,Surfing,Unprovoked,"White shark, 3 to 3.5m "
2015.10.21,2015,XXI,Male,Young,Usa,Florida,"Playalinda Beach, Brevard County",Surfing,Unprovoked,5' shark
2015.10.19,2015,XXI,Male,Young,Usa,Florida,"Deerfield Beach, Broward County",Surfing,Unprovoked,"Spinner shark, 5'"
2015.10.17.c,2015,XXI,Female,Adult,Mozambique,Inhambane Province,"Nahaduga, Inhambane Bay",Fishing for shrimp,Unprovoked,Unknown
2015.10.17.b,2015,XXI,Male,Adult,Usa,Hawaii,"Waikiki, ",Surfing,Invalid,No shark involvement
2015.10.17.a,2015,XXI,Male,Adult,Usa,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,Unprovoked,"Tiger shark, 7'"
2015.10.13,2015,XXI,Male,Unknown,Usa,California,"Off Leffingwell Landing, San Luis Obispo County",Kayak Fishing,Boating,Hammerhead sp.
2015.10.09.b,2015,XXI,Female,Children,Usa,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,Unprovoked,Unknown
2015.10.09.a,2015,XXI,Male,Young,Usa,Hawaii,"Leftovers, Oahu",Surfing,Unprovoked,"Tiger shark, 13' "
2015.10.08,2015,XXI,Male,Unknown,Mozambique,Inhambane Province,"Maxixe, Inhambane Bay",Fishing,Unprovoked,Unknown
2015.10.07,2015,XXI,Male,Teen,Australia,Western Australia,Pyramids Beach,Surfing,Unprovoked,Unknown
2015.10.05.b,2015,XXI,Male,Young,Usa,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,Unprovoked,Unknown
2015.10.05.a,2015,XXI,Male,Teen,Usa,Texas,Galveston,Wading,Unprovoked,4' to 5' shark
2015.10.04,2015,XXI,Male,Teen,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,"Blacktip shark, 4' to 5'"
2015.09.29,2015,XXI,Male,Young,Usa,Florida,"Vilano Beach, St.  Johns County",Surfing,Unprovoked,"Blacktip shark, 5' to 6'"
2015.09.26,2015,XXI,Female,Children,Australia,Queensland,"Russel Island, Frankland Group",Snorkeling,Unprovoked,Unknown
2015.09.24,2015,XXI,Male,Unknown,Usa,California,"Horseshoe Rock, Santa Barbara County",Kayak fishing,Unprovoked,"White shark, 19'"
2015.09.20.d,2015,XXI,Male,Teen,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,juvenile shark
2015.09.20.c,2015,XXI,Male,Young,Usa,Hawaii,"Upolu Point, North Kohala, Big Island",Spearfishing,Unprovoked,"Tiger shark, 13'"
2015.09.20.b,2015,XXI,Male,Teen,Usa,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,Unprovoked,4' shark
2015.09.20.a,2015,XXI,Male,Teen,Usa,Florida,"Vilano Beach, St.  Johns County",Photographing fish,Unprovoked,Unknown
2015.09.18,2015,XXI,Male,Unknown,Usa,Florida,"Big Talbot Island, Duval County",Swimming,Unprovoked,Unknown
2015.09.17,2015,XXI,Male,Young,Usa,Florida,"Jacksonville Beach, Duval County",Surfing,Unprovoked,Unknown
2015.09.08,2015,XXI,Male,Adult,Australia,New South Wales,North Shelly Beach,Surfing,Unprovoked,6' shark
2015.09.06,2015,XXI,Female,Adult,Usa,California,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,Unprovoked,"White shark, 11' to 12'"
2015.09.05,2015,XXI,Male,Young,Usa,California,"Deer Creek Beach, Ventura County",Kayak Fishing,Provoked,Hammerhead shark.
2015.09.04,2015,XXI,Male,Senior,Australia,New South Wales,Hallidays Point,Surf-skiing,Unprovoked,"White shark, 2.5 m"
2015.09.03,2015,XXI,Male,Unknown,Usa,South Carolina,"Myrtle Beach, Horry County",Unknown,Unprovoked,4' shark?
2015.09.01,2015,XXI,Female,Adult,Thailand,Phuket,Karon Beach,Wading,Unprovoked,small shark
2015.09.00,2015,XXI,Male,Unknown,Fiji,Unknown,Unknown,Spearfishing,Unprovoked,Tiger shark
2015.08.29.b,2015,XXI,Female,Adult,Usa,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,Unprovoked,"White shark, 11' to 12'"
2015.08.29.a,2015,XXI,Male,Young,Usa,California,"Morro Bay, San Luis Obispo County",Surfing,Unprovoked,"White shark, 10' to 12' "
2015.08.22.b,2015,XXI,Male,Unknown,Usa,Florida,"Cocoa Beach, Brevard  County",Unknown,Invalid,Shark involvement not confirmed
2015.08.22.a,2015,XXI,Male,Adult,Australia,New South Wales,Lighthouse Beach,Surfing,Unprovoked,Unknown
2015.08.20,2015,XXI,Male,Teen,Usa,South Carolina,"Murrells Inlet, Georgetown County",Surfing,Unprovoked,4' shark
2015.08.19,2015,XXI,Female,Children,Usa,Florida,"Jacksonville Beach, Duval County",Walking,Unprovoked,3' shark
2015.08.18.b,2015,XXI,Male,Young,Usa,California,Santa Barbara County,Kayak Fishing,Unprovoked,"White shark, 13'"
2015.08.18.a,2015,XXI,Male,Children,Spain,Alicante,"Poniente Beach, Benidorm",Swimming,Invalid,Shark involvement not confirmed
2015.08.10,2015,XXI,Male,Senior,Usa,California,Cortes Bank,Spearfishing,Provoked,Hammerhead shark. 6' to 7'
2015.07.31,2015,XXI,Male,Adult,Australia,New South Wales,Evans Head,Surfing,Unprovoked,White shark
2015.07.26.b,2015,XXI,Male,Young,Usa,Florida,"Daytona Beach, Volusia County",Surfing,Unprovoked,"Blacktip or spinner shark, 4'"
2015.07.26.a,2015,XXI,Female,Adult,Usa,South Carolina,"Edisto Beach, Colleton County",Floating,Invalid,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed"
2015.07.25,2015,XXI,Male,Adult,Australia,Tasmania,"Lachan Island, Mercury Passage",Scallop diving on hookah,Unprovoked,White shark
2015.07.23.b,2015,XXI,Male,Adult,Usa,California,"La Jolla, San Diego County",Kayak Fishing,Provoked,"Mako shark, 100-lb"
2015.07.23.a,2015,XXI,Male,Adult,Australia,Victoria,Tyrendarra Beach near Portland,Surfing,Unprovoked,"Bronze whaler shark, 1.5m"
2015.07.22,2015,XXI,Male,Adult,Reunion,Unknown,St. Leu,Surfing,Unprovoked,"Bull shark, 2m"
2015.07.19,2015,XXI,Male,Adult,South Africa,Eastern Cape Province,Jeffrey's Bay,Surfing,Unprovoked,White shark
2015.07-10,2015,XXI,Male,Adult,Usa,California,"Huntington Beach, Orange County",Surfing,Unprovoked,"White shark, 7'"
2015.07.08,2015,XXI,Male,Adult,Usa,California,"Huntington Beach, Orange County",Treading water,Invalid,Shark involvement not cofirmed
2015.07.06,2015,XXI,Male,Unknown,French Polynesia,Bora Bora,Unknown,Swimming,Invalid,No shark involvement
2015.07.04.b,2015,XXI,Female,Young,Bahamas,Grand Bahama Island,"Port Lucaya, Freeport",Spearfishing,Unprovoked,6' shark
2015.07.04.a,2015,XXI,Male,Adult,Usa,North Carolina,"Off Surf City, Pender County",Unknown,Unprovoked,Unknown
2015.07.03,2015,XXI,Male,Adult,Australia,New South Wales,Lennox Head,Surfing,Unprovoked,White shark
2015.07.02,2015,XXI,Male,Adult,Australia,New South Wales,East Ballina,Body boarding ,Unprovoked,White shark
2015.07.01,2015,XXI,Male,Senior,Usa,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,Unprovoked,6' to 7' shark
2015.06.30.b,2015,XXI,Male,Unknown,Australia,New South Wales,"Flat Rock, Yamba",Surfing,Unprovoked,Unknown
2015.06.30.a,2015,XXI,Male,Teen,Usa,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Playing in the water,Unprovoked,4' to 5' shark
2015.06.27.b,2015,XXI,Male,Teen,Usa,North Carolina,"Rodanthe, Dare County",Swimming,Unprovoked,Bull shark
2015.06.27.a,2015,XXI,Male,Teen,South Africa,Western Cape Province,Buffels Bay near Knysna,Body Boarding,Unprovoked,White shark
2015.06.26.c,2015,XXI,Female,Unknown,Usa,Florida,"Jacksonville Beach, Duval County",Swimming,Invalid,Shark involvement not confirmed
2015.06.26.b,2015,XXI,Male,Young,South Africa,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,Unprovoked,"White shark, 2m to 3 m"
2015.06.26.a,2015,XXI,Male,Adult,Usa,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,Unprovoked,4' shark
2015.06.25.R,2015,XXI,Male,Teen,Australia,Western Australia,Rottnest Island,Swimming,Provoked,Wobbegong shark
2015.06.25,2015,XXI,Male,Adult,Usa,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,Unprovoked,Unknown
2015.06.24.b,2015,XXI,Male,Children,Usa,North Carolina,Surf City,Swimming,Unprovoked,Sandtiger shark
2015.06.24.a,2015,XXI,Female,Adult,Australia,Western Australia,Denmark,Surfing,Invalid,White shark
2015.06.23,2015,XXI,Male,Children,Usa,South Carolina,"St. Helena Island, Beaufort County",Standing,Unprovoked,small shark
2015.06.19,2015,XXI,Male,Adult,Puerto Rico,Unknown,Off Cabo Rojo,Spearfishing,Unprovoked,Unknown
2015.06.17,2015,XXI,Male,Children,Usa,Florida,Daytona Beach Shores,Swimming,Unprovoked,Unknown
2015.06.14.b,2015,XXI,Male,Teen,Usa,North Carolina,"Oak Island, Brunswick County",Wading,Unprovoked,Bull shark
2015.06.14.a,2015,XXI,Female,Teen,Usa,North Carolina,"Oak Island, Brunswick County",Wading,Unprovoked,Bull shark
2015.06.13,2015,XXI,Female,Unknown,Usa,California,Off San Diego,Unknown,Unprovoked,Mako shark
2015.06.11,2015,XXI,Female,Teen,Usa,North Carolina,"Ocean Isle, Brunswick County",Boogie boarding,Unprovoked,4' shark
2015.06.07,2015,XXI,Male,Teen,Usa,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Playing,Unprovoked,"Bull shark, 5'"
2015.06.05,2015,XXI,Female,Teen,Usa,Florida,Fort Lauderdale,Attempting to rescue a shark,Unprovoked,small nurse shark
2015.06.01,2015,XXI,Male,Adult,Reunion,Le Port,Folette,Surfing,Unprovoked,"Bull shark, 2.5 m"
2015.05.29.b,2015,XXI,Female,Teen,Usa,Florida,"Cocoa Beach, Brevard  County",Standing,Unprovoked,Unknown
2015.05.29.a,2015,XXI,Female,Teen,Usa,Florida,"New Smyrna Beach, Volusia County",Wading,Unprovoked,Unknown
2015.05.25,2015,XXI,Male,Teen,French Polynesia,Rangiroa,Avatoru Pass,Spearfishing,Unprovoked,1m to 1.2 m shark
2015.05.24,2015,XXI,Female,Teen,Usa,Florida,"Cocoa Beach, Brevard  County",Swimming,Unprovoked,Unknown
2015.05.20,2015,XXI,Male,Teen,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,5' shark
2015.05.15,2015,XXI,Male,Young,Usa,South Carolina,Sullivan's Island,Unknown,Unprovoked,6' shark
2015.05.09,2015,XXI,Male,Adult,New Caledonia,Unknown,Kouare ,Snorkeling,Unprovoked,"Bull shark, 3.5 m"
2015.05.07,2015,XXI,Male,Unknown,Usa,Florida,"Cocoa Beach, Brevard  County",Swimming,Unprovoked,Unknown
2015.05.03,2015,XXI,Male,Unknown,Australia,New South Wales,Saltwater Beach,Surfing,Unprovoked,White shark
2015.05.02,2015,XXI,Male,Young,South Africa,Eastern Cape Province,Port St. John's,Diving,Unprovoked,"White shark, 3.5 m"
2015.04.29,2015,XXI,Female,Senior,Usa,Hawaii,Kanahena Cove ,Snorkeling,Unprovoked,Unknown
2015.04.26,2015,XXI,Male,Senior,Usa,Florida,"Resident's Beach, Marco Island",Wading,Unprovoked,3- to 4-foot shark
2015.04.25,2015,XXI,Male,Young,Australia,South Australia,Fishery Bay,Surfing,Unprovoked,"White shark, 6 m"
2015.04.24.c,2015,XXI,Male,Senior,Australia,New South Wales,"Belongil Beach, Byron Bay",Surf skiing ,Unprovoked,"White shark, 3 m"
