,Country,Year,Case Number,Date,Sex,Age,Fatal (Yes/No),href formula
39,AUSTRALIA,2016,2016.07.04,04-Jul-16,M,34,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.04-Oliver.pdf
40,USA,2016,2016.06.27,27-Jun-16,M,35,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.27-Sullivans.pdf
41,USA,2016,2016.06.25,25-Jun-16,M,11,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.25-AtlanticBeach.pdf
42,COLUMBIA,2016,2016.06.24,24-Jun-16,M,59,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.24-Velez.pdf
43,SOUTH AFRICA,2016,2016.06.23,23-Jun-16,M,43,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.23-Rysport.pdf
44,USA,2016,2016.06.21.b,21-Jun-16,M,42,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.b-Schott.pdf
45,USA,2016,2016.06.21.a,21-Jun-16,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.a-SatelliteBeach.pdf
46,USA,2016,2016.06.15.b,15-Jun-16,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.b-Kauai.pdf
47,AUSTRALIA,2016,2016.06.15.a,15-Jun-16,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.a-Vale.pdf
48,USA,2016,2016.06.14,14-Jun-16,F,6,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.14-Melton.pdf
49,USA,2016,2016.06.11,11-Jun-16,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.11-Bowen.pdf
50,USA,2016,2016.06.07,07-Jun-16,M,27,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.07-Oneill.pdf
51,USA,2016,2016.06.05.b,05-Jun-16,M,64,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.b-Flagler.pdf
52,AUSTRALIA,2016,2016.06.05.a,05-Jun-16,F,60,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.a-Collyer.pdf
53,EGYPT,2016,2016.06.04,04-Jun-16,M,23,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Qader.pdf
54,AUSTRALIA,2016,2016.06.02.b,02-Jun-16,M,,,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.b-Matigan.pdf
55,NEW CALEDONIA,2016,2016.06.02.a,02-Jun-16,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.a-Pierre.pdf
56,AUSTRALIA,2016,2016.05.31,31-May-16,M,29,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.31-Gerring.pdf
57,USA,2016,2016.05.29.b,29-May-16,F,52,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.b-Corona.pdf
58,USA,2016,2016.05.29.a,29-May-16,M,13,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.a-Neptune.pdf
59,USA,2016,2016.05.22,22-May-16,F,57,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.22-Marcus.pdf
60,USA,2016,2016.05.21.b,21-May-16,F,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.b-Magee.pdf
62,USA,2016,2016.05.18,18-May-16,M,48,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.18-Wilson.pdf
63,USA,2016,2016.05.15,15-May-16,F,23,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.15-Boca.pdf
64,USA,2016,2016.05.03,03-May-16,M,59,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.03-Maui.pdf
65,NEW ZEALAND,2016,2016.05.02,02-May-16,M,39,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.02-NZ-pdf
66,INDONESIA,2016,2016.04.25,25-Apr-16,M,24,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.25-Boarman.pdf
67,USA,2016,2016.04.23,23-Apr-16,M,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.23-Beardall.pdf
68,SOUTH AFRICA,2016,2016.04.22,22-Apr-16,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.22-Manson.pdf
69,AUSTRALIA,2016,2016.04.19,19-Apr-16,M,12,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.19-Kedem.pdf
70,FRENCH POLYNESIA,2016,2016.04.18,18-Apr-16,M,26,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.18-Tokoragi.pdf
71,USA,2016,2016.04.13,13-Apr-16,M,26,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.13-Senkowicz.pdf
72,NEW CALEDONIA,2016,2016.04.09,09-Apr-16,F,69,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.09-Malignon.pdf
73,CAPE VERDE,2016,2016.04.08,08-Apr-16,M,60,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.08-CapeVerde.pdf
74,USA,2016,2016.04.07.b,07-Apr-16,M,34,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.b-Lester.pdf
75,USA,2016,2016.04.07.a,07-Apr-16,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.a-Trinidad.pdf
76,USA,2016,2016.03.31,31-Mar-16,F,46,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.31-Orr.pdf
77,AUSTRALIA,2016,2016.03.30,30-Mar-16,M,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.30-Connellan.pdf
78,USA,2016,2016.03.28.b,28-Mar-16,M,Teen,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.28.b-Kawa.pdf
79,AUSTRALIA,2016,2016.03.28.a,28-Mar-16,M,41,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.28.a-Smyth.pdf
80,BAHAMAS,2016,2016.03.26,26-Mar-16,M,9,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.26-Kreckman.pdf
81,USA,2016,2016.03.13,13-Mar-16,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.13-BolsaChicaSurfer.pdf
82,USA,2016,2016.03.11,11-Mar-16,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.11-Kenny.pdf
83,FIJI,2016,2016.03.10,10-Mar-16,M,45,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.10-Tabua.pdf
84,USA,2016,2016.03.04,04-Mar-16,M,12,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.04-OCPark.pdf
85,AUSTRALIA,2016,2016.03.03.R,Reported 03-Mar-2016,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.03.R-Taplin.pdf
86,BRAZIL,2016,2016.03.02,02-Mar-16,M,41,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.02-Thomas.pdf
87,NEW CALEDONIA,2016,2016.02.22,22-Feb-16,M,21,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.22-Noumea.pdf
88,NEW CALEDONIA,2016,2016.02.19, 19-Feb-2016,M,31,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.19-NewCaledonia.pdf
89,DOMINICAN REPUBLIC,2016,2016.02.12,12-Feb-16,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.12-Howe.pdf
90,CAYMAN ISLANDS,2016,2016.02.10.R,Reported 10-Feb-2016,M,65,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.10.R-Branson-stingray.pdf
91,AUSTRALIA,2016,2016.02.10,10-Feb-16,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.11-NettleyBay.pdf
92,AUSTRALIA,2016,2016.02.05,05-Feb-16,F,45,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.05-Stradbroke.pdf
93,AUSTRALIA,2016,2016.02.04,04-Feb-16,M,40,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.04-Morris.pdf
94,SOUTH AFRICA,2016,2016.01.29,29-Jan-16,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.29-DeLange.pdf
95,USA,2016,2016.01.28,28-Jan-16,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.28-Kauai.pdf
96,USA,2016,2016.01.25,25-Jan-16,F,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.25-Waldman.pdf
98,UNITED ARAB EMIRATES,2016,2016.01.24.a,24-Jan-16,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.24.a-UAEboat.pdf
99,USA,2016,2016.01.23,23-Jan-16,M,48,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.23-Mason.pdf
100,AUSTRALIA,2016,2016.01.11.R,Reported 11-Jan-2016,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.11.R-Hilder.pdf
101,AUSTRALIA,2016,2016.01.05,05-Jan-16,M,11,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.05-Davis.pdf
102,AUSTRALIA,2016,2016.01.02,02-Jan-16,M,31,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.02-Countryman.pdf
103,SOUTH AFRICA,2015,2015.12.26,26-Dec-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.26-Wardell.pdf
104,SPAIN,2015,2015.12.25,25-Dec-15,F,38,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.25-GrandCanary.pdf
105,USA,2015,2015.12.22,22-Dec-15,M,71,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.22-Ford.pdf
106,AUSTRALIA,2015,2015.12.21.b,21-Dec-15,M,43,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.21.b-Norburn.pdf
108,ARUBA,2015,2015.12.19,19-Dec-15,M,58,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.19-Aruba.pdf
109,AUSTRALIA,2015,2015.12.13,13-Dec-15,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.13-Crust-Boat.pdf
110,BAHAMAS,2015,2015.12.11,11-Dec-15,M,26,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.11-Pinder.pdf
111,SOUTH AFRICA,2015,2015.12.08,08-Dec-15,F,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.08-Scott.pdf
112,USA,2015,2015.11.16,16-Nov-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.16-Conti.pdf
113,USA,2015,2015.11.15.b,15-Nov-15,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.15.b-PalmBeach.pdf
115,AUSTRALIA,2015,2015.11.10,10-Nov-15,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.10-Morgan.pdf
117,USA,2015,2015.11.03,03-Nov-15,M,54,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.03-O'Leary.pdf
118,USA,2015,2015.11.01.b,01-Nov-15,F,28,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.01.b-Kruse.pdf
119,MOZAMBIQUE,2015,2015.11.01.a,01-Nov-15,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.01.a-Ernesto.pdf
120,AUSTRALIA,2015,2015.10.30,30-Oct-15,M,50,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.30-Galli.pdf
122,SOUTH AFRICA,2015,2015.10.25,25-Oct-15,M,42,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.25-Anderson.pdf
123,USA,2015,2015.10.21,21-Oct-15,M,21,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.21-Playalinda.pdf
124,USA,2015,2015.10.19,19-Oct-15,M,21,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.19-Kirn.pdf
125,MOZAMBIQUE,2015,2015.10.17.c,17-Oct-15,F,35,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.c-Cavel.pdf
126,USA,2015,2015.10.17.b,17-Oct-15,M,32,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.b.-Hawaii. pdf
127,USA,2015,2015.10.17.a,17-Oct-15,M,44,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.a-Lee.pdf
128,USA,2015,2015.10.13,13-Oct-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.13-Pavacich-kayak.pdf
129,USA,2015,2015.10.09.b,09-Oct-15,F,9,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.b-Kershner.pdf
130,USA,2015,2015.10.09.a,09-Oct-15,M,25,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.a-Cook.pdf
131,MOZAMBIQUE,2015,2015.10.08,08-Oct-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.08-Rafael.pdf
132,AUSTRALIA,2015,2015.10.07,07-Oct-15,M,18,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.07-Zawadzki.pdf
133,USA,2015,2015.10.05.b,05-Oct-15,M,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.05.b-FtPierce.pdf
135,USA,2015,2015.10.04,04-Oct-15,M,14,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.04-Tarasovic.pdf
136,USA,2015,2015.09.29,29-Sep-15,M,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.29-Morrison.pdf
137,AUSTRALIA,2015,2015.09.26,26-Sep-15,F,7,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.26-QLD.pdf
138,USA,2015,2015.09.24,24-Sep-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.24-Kenney.pdf
139,USA,2015,2015.09.20.d,20-Sep-15,M,14,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.d-NSB.pdf
140,USA,2015,2015.09.20.c,20-Sep-15,M,27,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.c-Braxton.pdf
141,USA,2015,2015.09.20.b,20-Sep-15,M,12,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.b-Bitner.pdf
142,USA,2015,2015.09.20.a,20-Sep-15,M,16,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.a-Schiavo.pdf
143,USA,2015,2015.09.18,18-Sep-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.18-Vergenz.pdf
144,USA,2015,2015.09.17,17-Sep-15,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.17-Liebetrau.pdf
145,AUSTRALIA,2015,2015.09.08,08-Sep-15,M,42,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.08-Daniels.pdf
146,USA,2015,2015.09.06,06-Sep-15,F,50,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.06-Gennaro.pdf
147,USA,2015,2015.09.05,05-Sep-15,M,29,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.05-Marks.pdf
148,AUSTRALIA,2015,2015.09.04,04-Sep-15,M,62,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.04-Quinliven.pdf
149,USA,2015,2015.09.03,03-Sep-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.03-Wagner.pdf
150,THAILAND,2015,2015.09.01,01-Sep-15,F,37,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.01-Neame.pdf
151,FIJI,2015,2015.09.00,Sep-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.00-Lautiki.pdf
152,USA,2015,2015.08.29.b,29-Aug-15,F,54,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.29.b-Dempsey.pdf
153,USA,2015,2015.08.29.a,29-Aug-15,M,21,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.29.a-Phillips.pdf
154,USA,2015,2015.08.22.b,22-Aug-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.22.b-CocoaBeach.pdf
155,AUSTRALIA,2015,2015.08.22.a,22-Aug-15,M,38,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.22.a-Carr.pdf
156,USA,2015,2015.08.20,20-Aug-15,M,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.20-Peyton.pdf
157,USA,2015,2015.08.19,19-Aug-15,F,10,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.19-Szsarmack
158,USA,2015,2015.08.18.b,18-Aug-15,M,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.18.b-Lyon.pdf
159,SPAIN,2015,2015.08.18.a,18-Aug-15,M,10,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.18.a-Benidorm.pdf
160,USA,2015,2015.08.10,10-Aug-15,M,57,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.10-Shafer.pdf
161,AUSTRALIA,2015,2015.07.31,31-Jul-15,M,52,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.31-Ison.pdf
162,USA,2015,2015.07.26.b,26-Jul-15,M,25,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.26.b-Warrilow.pdf
163,USA,2015,2015.07.26.a,26-Jul-15,F,35,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.26.a-Edisto.pdf
164,AUSTRALIA,2015,2015.07.25,25-Jul-15,M,46,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.25-Johnson.pdf
165,USA,2015,2015.07.23.b,23-Jul-15,M,31,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.23.b-Lorber.pdf
166,AUSTRALIA,2015,2015.07.23.a,23-Jul-15,M,40s,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.23.a-Victoria.pdf
167,REUNION,2015,2015.07.22,22-Jul-15,M,45,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.22-Arrieguy.pdf
168,SOUTH AFRICA,2015,2015.07.19,19-Jul-15,M,34,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.19-Fanning.pdf
170,USA,2015,2015.07.08,08-Jul-15,M,39,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.08-Finney.pdf
171,FRENCH POLYNESIA,2015,2015.07.06,06-Jul-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.06-Termini.pdf
172,BAHAMAS,2015,2015.07.04.b,04-Jul-15,F,23,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.04.b-Hester.pdf
173,USA,2015,2015.07.04.a,04-Jul-15,M,32,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.04.a-Marine.pdf
174,AUSTRALIA,2015,2015.07.03,03-Jul-15,M,52,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.03-Hoile.pdf
175,AUSTRALIA,2015,2015.07.02,02-Jul-15,M,32,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.02-Matt-Lee.pdf
176,USA,2015,2015.07.01,01-Jul-15,M,68,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.01-Costello.pdf
177,AUSTRALIA,2015,2015.06.30.b,30-Jun-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.30.b-Steve.pf
178,USA,2015,2015.06.30.a,30-Jun-15,M,12,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.30.a.pdf-Weakley.pdf
179,USA,2015,2015.06.27.b,27-Jun-15,M,18,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.27.b-Rodanthe.pdf
181,USA,2015,2015.06.26.c,26-Jun-15,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.26.c-Jacksonville.pdf
182,SOUTH AFRICA,2015,2015.06.26.b,26-Jun-15,M,23,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.26.b-Reddering.pdf
183,USA,2015,2015.06.26.a,26-Jun-15,M,43,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.26.a-Donahue.pdf
184,AUSTRALIA,2015,2015.06.25.R,Reported 25-Jun-2015,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.25.R-Stephen.pdf
185,USA,2015,2015.06.25,25-Jun-15,M,47,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.25-Avon.pdf
186,USA,2015,2015.06.24.b,24-Jun-15,M,6,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.24.b-Noyes.pdf
187,AUSTRALIA,2015,2015.06.24.a,24-Jun-15,F,37,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.24.a-Kumpe.pdf
188,USA,2015,2015.06.23,23-Jun-15,M,9,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.23-Davenport.pdf
189,PUERTO RICO,2015,2015.06.19,19-Jun-15,M,36,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.19-Rios.pdf
190,USA,2015,2015.06.17,17-Jun-15,M,10,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.17-Simpson.pdf
191,USA,2015,2015.06.14.b,14-Jun-15,M,16,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.14.b-Treschel.pdf
192,USA,2015,2015.06.14.a,14-Jun-15,F,12,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.14.a-Yow.pdf
194,USA,2015,2015.06.11,11-Jun-15,F,13,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.11-OceanIsle.pdf
195,USA,2015,2015.06.07,07-Jun-15,M,11,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.07-Vertullo.pdf
196,USA,2015,2015.06.05,05-Jun-15,F,17,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.05-FortLauderdale.pdf
197,REUNION,2015,2015.06.01,01-Jun-15,M,47,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.01-Chaussalet.pdf
