original order,Year,Type,Country,Area,Activity,Sex,Age,Fatal (Y/N),Species ,Investigator or Source
90.0,1962.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,M,,Y,Other,"L.Green, A Decent Fellow doesn't Work, p.225"
91.0,2004.0,Boat,MOZAMBIQUE,Inhambane Province,Fishing,unknown,,N,shark,South African Shark Attack File
92.0,2003.0,Unprovoked,GREECE,Dodecanese Islands,Free diving,M,,Y,Other,M. Kalafatas
93.0,2006.0,Unprovoked,USA,Florida,Other,M,,N,Other,Fishingworld.com
94.0,1960.0,Unprovoked,VENEZUELA,Los Roques  Islands,Spearfishing,M,,Y,hammerhead shark,http://waterco.com.br/ataque_tubarao.htm
95.0,1901.0,Unprovoked,SRI LANKA,Northern Province,Fishing,M,,N,Other,Gould & Pyle
96.0,1911.0,Unprovoked,VIETNAM,,Bathing,M,,N,Other,"Daily Kennebec Journal, 3/27/ 1911"
97.0,2012.0,Unprovoked,,,Other,F,,N,Other,National Georgraphic Television
98.0,1912.0,Unprovoked,NEW ZEALAND,North Island,Other,M,,Y,Other,"Evening Post, 6/8/1912"
99.0,1936.0,Unprovoked,AUSTRALIA,,Other,M,,N,Other,"Courier-Mail, 1/11/1936"
100.0,1896.0,Unprovoked,LIBYA,Cyrenaica,Sponge diving,M,,Y,Other,M. Bardanis
101.0,1963.0,Unprovoked,DJIBOUTI,Gulf of Tadjoura,Other,unknown,,Y,Other,A. C. Doyle
102.0,1994.0,Unprovoked,USA,Florida,Surfing,M,,N,Other,"M. Vorenberg, GSAF"
103.0,2009.0,Unprovoked,USA,Florida,Other,F,21.0,N,shark,Daniell Washington
104.0,2011.0,Provoked,,,Other,M,,N,Other,"Watertown Daily Times, 7/8/2011"
105.0,2011.0,Unprovoked,SUDAN,Red Sea State,Snorkeling,F,,N,Other,"E. Ritter, GSAF"
106.0,2012.0,Unprovoked,SPAIN,Canary Islands,Other,unknown,,N,Other,"C. Moore, GSAF"
107.0,1876.0,Unprovoked,LEBANON,,Other,M,,N,Other,"C. Moore, GSAF"
108.0,1900.0,Provoked,INDIA,,Other,M,,N,Other,Naval Journal (undated)
109.0,1908.0,Unprovoked,USA,California,Fishing,M,,Y,shark,C.F. Holder
110.0,1951.0,Unprovoked,GREECE,,Swimming,F,,Y,Other,"C. Moore, GSAF"
111.0,1916.0,Unprovoked,BERMUDA,,Other,M,,Y,Other,"New York Times, 7/22/1916"
112.0,2012.0,Unprovoked,USA,Hawaii,Diving,M,,N,shark,K. O'keefe
113.0,1909.0,Unprovoked,AUSTRALIA,Queensland,Fell into the water,M,,Y,Other,"Brisbane Courier, 1/28/1909"
114.0,1880.0,Unprovoked,AUSTRALIA,Queensland,Other,F,15.0,N,Other,"Courier Mail, 6/30/1951"
115.0,1930.0,Unprovoked,PAPUA NEW GUINEA,Morobe Province,Swimming,M,,Y,Other,"The Advertiser (Adelaide), 6/2/1933"
116.0,2009.0,Unprovoked,USA,South Carolina,Swimming,M,,N,Other,WBTV-News3
117.0,1934.0,Unprovoked,URUGUAY,Rocha ,Swimming,M,,Y,Other,"Di Candia, 2004"
118.0,1934.0,Unprovoked,URUGUAY,Rocha,Swimming,unknown,,N,Other,"Di Candia, 2004"
119.0,2009.0,Unprovoked,PANAMA,Bocas del Toro Province,Swimming,M,20.0,Y,Other,C. Mendieta & A. Duarte
120.0,2016.0,Unprovoked,KENYA,Mombasa,Diving,M,,Y,Other,eadestination
121.0,1990.0,Unprovoked,KENYA,Mombasa,Diving,M,,N,Other,A.J. Venter
122.0,1939.0,Unprovoked,CANADA,,Fishing,M,,N,Other,"C.E.Russell, pp. 310-311"
123.0,0.0,Sea Disaster,ITALY,Tyrrhenian Sea,Other,M,,Y,Other,"V.M. Coppleson (1958), p.262, et al"
124.0,0.0,Sea Disaster,GREECE,Off Thessaly,Other,M,,Y,Other,Herodotus (485 - 425 B.C.)
125.0,0.0,Unprovoked,GREECE,Piraeus,Other,M,,Y,Other,Plutarch (45 - 125 A.D.) in Life of Phoecion (Phoecion 28)
126.0,0.0,Unprovoked,,Ionian Sea,Other,M,,Y,Other,"Reported by Greek poet, Leonidas of Tarentum (228 B.C to 174 B.C.); V.M. Coppleson (1958), pp.4 &5"
127.0,5.0,Unprovoked,AUSTRALIA,New South Wales,Other,M,,N,Other,Waverly Library
128.0,77.0,Unprovoked,,Ionian Sea,Sponge diving,M,,Y,Other,Perils mentioned by Pliny the Elder (23 A.D. to 76 A.D.)
129.0,500.0,Unprovoked,MEXICO,,Other,M,,N,Other,J. Castro
130.0,1543.0,Unprovoked,VENEZUELA,Magarita or Cubagua Islands,Pearl diving,M,,Y,Other,J. Castro
131.0,1554.0,Unprovoked,FRANCE,Nice & Marseilles,Other,M,,UNKNOWN,white shark,G. Rondelet 
132.0,1555.0,Unprovoked,,,Swimming,M,,UNKNOWN,Other,Olaus Magnus
133.0,1580.0,Unprovoked,Between PORTUGAL & INDIA,,Other,M,,Y,Other,"G.P. Whitley, p. 10"
134.0,1595.0,Unprovoked,INDIA,Kerala,Other,M,,UNKNOWN,Other,The Voyage of John Huyghen van Linschoten
135.0,1642.0,Unprovoked,USA,New York ,Swimming,M,,Y,Other,"Knickerbocker's History of New York, by Washington Irving"
136.0,1617.0,Unprovoked,INDIA,West Bengal,Other,unknown,,UNKNOWN,Other,"H. Edwards, p.31, citing Samuel Purchas"
137.0,1637.0,Unprovoked,INDIA,West Bengal,Wading,unknown,,UNKNOWN,Other,"H. Edwards, p.31, citing Sebastian Manrique"
138.0,1638.0,Unprovoked,,,Other,M,,UNKNOWN,Other,Sir Thomas Herbert
139.0,1642.0,Invalid,GUINEA,,Other,M,,,Other,"History of the Pyrates, by D. Defoe, Vol. 2, p.28"
140.0,1700.0,Unprovoked,BARBADOS,,Bathing,M,,Y,Other,"Tioga Eagle, 10.26/ 1842"
141.0,1700.0,Unprovoked,FRANCE,Côte d'Azur ,Bathing,M,,N,shark,"A. De Maddalena, citing Cazeils (1998)"
142.0,1700.0,Unprovoked,FRANCE,,Other,M,,Y,Other,"A. De Maddalena, citing Cazeils (1998)"
143.0,1703.0,Unprovoked,BARBADOS,Southwest coast,Swimming,M,19.0,N,Other,"W.R.Cutter, Vol.1, p.252"
144.0,1721.0,Unprovoked,ITALY,Sardinia,Swimming,M,,Y,shark,F. Ricciardi; A. De Maddalena. 
145.0,1723.0,Unprovoked,ROATAN,,Other,M,,,Other,"C.Moore, GSAF"
146.0,1733.0,Invalid,ICELAND,Bardestrand,Other,unknown,,,Other,E. Olafsen
147.0,1738.0,Unprovoked,ITALY,Sicily,Swimming,M,,Y,Other,"C. Moore, GSAF"
148.0,1742.0,Unprovoked,,,Swimming,M,,Y,Other,"C. Moore, GSAF"
149.0,1748.0,Unprovoked,PANAMA,Las Perlas archipelago,Pearl diving,M,,Y,Other,"J. Castro, et al"
150.0,1755.0,Unprovoked,SWEDEN,Skagerrak arm of the North Sea,Other,M,,UNKNOWN,Other,"C. Moore, GSAF"
151.0,1749.0,Unprovoked,CUBA,Havana Province,Swimming,M,14.0,N,Other,GSAF
152.0,1751.0,Unprovoked,USA,Massachusetts,Swimming,M,,Y,Other,"Pennsylvania Gazette, 8/15/1751"
153.0,1753.0,Unprovoked,JAMAICA,,Fell overboard,M,,Y,Other,"Maryland Gazette, 1/31/1754"
154.0,1758.0,Unprovoked,MEDITERRANEAN SEA,,Fell overboard,M,,N,Other,A.M. Hodgkin
155.0,1764.0,Unprovoked,SPAIN,,Swimming,M,,Y,Other,"C. Moore, GSAF"
156.0,1767.0,Invalid,FRANCE,Côte d'Azur ,Bathing,M,,,shark,
157.0,1771.0,Unprovoked,USA,,Fishing,M,,Y,Other,"C. Moore, GSAF"
158.0,1776.0,Boat,GREENLAND,,Other,unknown,,Y,shark,T. Pennant
159.0,1776.0,Unprovoked,GUINEA,,Other,M,,Y,Other,T. Pennant
160.0,1779.0,Unprovoked,USA,Hawaii,Surfing,M,,Y,Other,"G.H. Balazs; J. Borg, p.68; L. Taylor (1993), pp.94-95"
161.0,1780.0,Unprovoked,USA,Florida,Swimming,M,,Y,Other,"C.Moore, GSAF"
162.0,1783.0,Sea Disaster,MARTINIQUE,,Other,M,,Y,Other,"C.Moore, GSAF"
163.0,1784.0,Unprovoked,JAMAICA,,Swimming,M,,Y,Other,"The Pennsylvaia Gazette, 3/16/1785"
164.0,1785.0,Unprovoked,ENGLAND,Sussex,Other,M,,Y,shark,"C. Moore, GSAF"
165.0,1786.0,Unprovoked,BARBADOS,,Other,M,,Y,Other,"Belfast Evening Post, 8/10/1786"
166.0,1787.0,Unprovoked,,St Helena,Swimming,M,,Y,Other,"H.R. Janisch (1885), Extracts from the St. Helena Archives"
167.0,1788.0,Boat,AUSTRALIA,New South Wales,Fishing,unknown,,N,Other,"G.P. Whitley citing J. Cobley, Sydney Cove, p. 138"
168.0,1791.0,Unprovoked,AUSTRALIA,New South Wales,Other,F,,Y,Other,"G.P. Whitley;  D. Baldridge, p.162"
169.0,1792.0,Provoked,ENGLAND,,Fishing,M,,Y,Other,"The Waterford Herald, 9/15/1792"
170.0,1797.0,Unprovoked,,,Other,unknown,,Y,Other,The Observer 5/28/1797
171.0,1800.0,Unprovoked,SEYCHELLES,St. Anne,Other,F,,Y,Other,V. C. Harvey-Brain
172.0,1801.0,Provoked,,,Standing,M,,Y,shark,"The Evening Post, 12/18/1801"
173.0,1802.0,Unprovoked,INDIA,,Other,unknown,,Y,Other,Evening Post (New York) 4/13/1802
174.0,1803.0,Unprovoked,AUSTRALIA,Western Australia,Other,M,,N,Other,"F.  Peron ref in G.P. Whitley (Fishes of Australia), p.13 "
175.0,1803.0,Sea Disaster,USA,South Carolina,Other,M,,N,Other,"Evening Post, 6/13/1803"
176.0,1804.0,Boat,AUSTRALIA,New South Wales,Other,unknown,,N,Other," Sydney Gazette, 2/26/1804 "
177.0,1805.0,Invalid,USA,New York,Other,M,,,Other,S.L. Mitchill (1814)
178.0,1896.0,Sea Disaster,USA,,Other,M,,,Other,"Evening Post, 9/6/1806"
179.0,1807.0,Unprovoked,AUSTRALIA,New South Wales,Other,M,,N,Other,"J. Green, p.31"
180.0,1808.0,Unprovoked,INDIA,,Bathing,M,,Y,Other,"The Observer, 2/7/1808"
181.0,1808.0,Sea Disaster,ANTIGUA,,Other,unknown,,,Other,"London Observer, 5/1/1808"
182.0,1808.0,Unprovoked,JAMAICA,,Swimming,M,,Y,Other,"The Observer, 12/25/1808"
183.0,1810.0,Unprovoked,USA,South Carolina,Fell into the water,M,,Y,Other,"Hartford Courant, 10/3/1810"
184.0,1811.0,Unprovoked,,,Fell overboard,M,,Y,Other,Journal of Captain Marryat
185.0,1812.0,Unprovoked,ENGLAND,Devon,Swimming,M,,N,mako shark,"C. Moore, GSAF"
186.0,1815.0,Unprovoked,TOBAGO,,Bathing,M,,Y,Other,"C.Moore, GSAF"
187.0,1816.0,Unprovoked,USA,Rhode Island,Swimming,M,,Y,Other,"Connecticut Courant, 9/3/1816"
188.0,1817.0,Unprovoked,SRI LANKA,,Other,M,,N,Other,J. Kennedy
189.0,1817.0,Unprovoked,SRI LANKA,Western Province,Swimming,M,22.0,Y,Other,Edinburgh Advertiser. 11/4/1817; R. DeSilva
190.0,1817.0,Unprovoked,INDIA,Maharashtra,Swimming,M,,Y,Other,Edinburgh Advertiser. 2/3/1818
191.0,1817.0,Unprovoked,USA,South Carolina,Swimming,M,,Y,Other,"The Times, 6/25/1817"
192.0,1818.0,Invalid,NORWAY,,Other,M,,,Other,"C. Moore, GSAF"
193.0,1819.0,Invalid,SPAIN,,Other,M,,,Other,"C. Moore, GSAF"
194.0,1822.0,Unprovoked,NIGERIA,Rivers State,Other,unknown,,Y,Other,"Times of London, 8/5/1822, p. 2"
195.0,1823.0,Invalid,JAMAICA,,Other,M,,,Other,
196.0,1825.0,Invalid,AUSTRALIA,Western Australia,Other,M,,N,Other,"C. Black, GSAF"
197.0,1825.0,Unprovoked,AUSTRALIA,Tasmania,Swimming,M,,Y,Other,"C. Black, GSAF, G.T. Lloyd, pp.79-81; C. Black pp. 142-147"
198.0,1826.0,Unprovoked,JAMAICA,,Other,M,,Y,Other,"The Times, 7/19/1826"
199.0,1826.0,Unprovoked,ENGLAND,Cumberland,Bathing,unknown,,,Other,"The Times (London), 8/15/1826"
200.0,1826.0,Sea Disaster,CUBA,,Other,M,,Y,Other,Edinburgh Advertiser. 10/20/1826
201.0,1826.0,Unprovoked,GHANA,Cape Coast,Bathing,M,,Y,Other,"Sydney Gazette and New South Wales Advertiser, 7/25/1827 "
202.0,1826.0,Unprovoked,BRAZIL,Paraiba,Other,M,,N,Other,Book of the Ocean
203.0,1827.0,Unprovoked,EGYPT,,Other,M,,Y,Other,"C. Moore, GSAF"
204.0,1827.0,Unprovoked,SIERRA LEONE,Western Area ,Swimming,M,,N,Other,Edinburgh Advertiser. 9/12/1828
205.0,1827.0,Unprovoked,SIERRA LEONE,Western Area ,Swimming,M,,N,Other,Edinburgh Advertiser. 9/12/1828
206.0,1828.0,Unprovoked,USA,Hawaii,Surfing,M,,Y,Other,"J. Borg, p.68; L. Taylor (1993), pp.94-95"
207.0,1828.0,Unprovoked,SIERRA LEONE,Western Area,Other,M,17.0,N,Other,Account by J. Boyle
208.0,1829.0,Sea Disaster,CARIBBEAN SEA,,Other,M,,Y,Other,"The Times, 12/14/1829"
209.0,1829.0,Unprovoked,USA,New Jersey,Fell overboard,M,,Y,Other,"The Evening Post, 6/12/1829"
210.0,1829.0,Unprovoked,SIERRA LEONE,Western Area,Other,M,,N,Other,"Hagerstown Mail, 7/3/1829"
211.0,1830.0,Unprovoked,,,Other,M,,Y,Other,"The Torchlight & Public Advertiser, 4/22/1830"
212.0,1830.0,Unprovoked,INDIA,Tamil Nadu,Bathing,M,,Y,Other,"Madras Gazette, 5/1/1830"
213.0,1830.0,Unprovoked,INDIA,Tamil Nadu,Other,M,,Y,Other,"Madras Courier, 7/2/1830"
214.0,1830.0,Unprovoked,USA,Massachusetts,Fishing,M,52.0,Y,Other,"Huron Sun, 8/3/1830"
215.0,1831.0,Invalid,AUSTRALIA,Tasmania,Other,M,,,Other,"C. Black, GSAF; Sydney Gazette, 1/22/1831"
216.0,1831.0,Boat,USA,CUBA,Other,M,,Y,Other,"New York Evening Post, 9/14/1831"
217.0,1832.0,Unprovoked,AUSTRALIA,New South Wales,Bathing,M,,N,Other,"Sydney Herald, 1/23/1832"
218.0,1832.0,Unprovoked,AUSTRALIA,New South Wales,Fishing,F,,N,Other,"Sydney Herald, 6/11/1832"
219.0,1834.0,Unprovoked,FRENCH POLYNESIA,Society Islands,Swimming,F,,Y,hammerhead shark,"Republican Banner, 7/15/1834"
220.0,1835.0,Unprovoked,TASMAN SEA,35º39 : 165º8',Other,M,,N,Other,"G.P. Whitley, p. 259"
221.0,1835.0,Unprovoked,VANUATU,Sanma Province,Bathing,M,,Y,Other,"Sydney Gazette, 2/21/1835"
222.0,1836.0,Unprovoked,AUSTRALIA,South Australia,Other,unknown,,UNKNOWN,Other,"A. Sharpe, p.119"
223.0,1836.0,Invalid,SPAIN,,Other,unknown,,,Other,"C. Moore, GSAF"
224.0,1836.0,Unprovoked,ENGLAND,Cumberland,Swimming,M,,Y,Other,"C. Moore, GSAF"
225.0,1837.0,Invalid,USA,South Carolina,Other,M,,,Other,W. H. Gregg
226.0,1837.0,Unprovoked,AUSTRALIA,New South Wales,Other,M,12.0,Y,Other,"Gazette (Sydney) 1/31/1837; Proc. Royal Aust. Hist. Scty, I, Part 2, 1924; G.P. Whitley, p.14; Sharpe, p. 87"
227.0,1837.0,Unprovoked,USA,New York,Bathing,M,,N,Other,"Public Ledger, 7.13/1837"
228.0,1837.0,Unprovoked,USA,South Carolina,Bathing,M,,N,Other,"C. Creswell, GSAF; J. Hair, pp.65-66"
229.0,1839.0,Unprovoked,FIJI,Viti Levu Island,Other,M,29.0,N,Other,J. Garrett; T. Kanailagi
230.0,1839.0,Unprovoked,AUSTRALIA,South Australia,Other,M,,Y,Other,"G. Dunderdale, The Book of the Bush"
231.0,1839.0,Unprovoked,CUBA,Matanzas Province (north coast),Other,M,,Y,large shark,"Daily Courant, 5/31/1839"
232.0,1839.0,Invalid,AUSTRALIA,New South Wales,Other,M,,,Other,"H.D. Baldridge, p.146"
233.0,1840.0,Boat,AUSTRALIA,Tasmania,Sailing,unknown,,N,Other,"C. Black, GSAF"
234.0,1840.0,Unprovoked,WEST INDIES,,Swimming,M,,Y,Other,"Long-Island Star, 4/9/1840"
