Case Number,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N),Species ,Investigator or Source,Date,Year
2017.06.17,Unprovoked,SPAIN,Ibiza Island,Playa den Bossa,swimming,M,82,N,unknown,"Diario de Ibiza, 6/17/'2017",2017-06-17,2017.0
2017.06.05,Unprovoked,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",surfing,M,Unknown,N,unknown,"Tahiti Infos, 6/6/2017",2017-06-05,2017.0
2017.06.14.R,Unprovoked,BAHAMAS,Unknown,Unknown,unknown,F,Unknown,N,unknown,"AOL.UK, 6/14/2017",2017-06-14,2017.0
2017.06.11,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",boarding,M,48,N,white shark,"WA Today, 6/11/2017",2017-06-11,2017.0
2017.06.10.b,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",surfing,F,Unknown,N,unknown,Victoria Shark Reports,2017-06-10,2017.0
2017.06.10.a,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,M,19,N,unknown,"Daytona Beach News-Journal, 6/10/2017",2017-06-10,2017.0
2017.06.07.R,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,surfing,M,30,N,unknown,"C. Moore, GSAF",2017-06-07,2017.0
2017.06.04,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",spearfishing,M,Unknown,N,unknown,"Nine News, 6/7/2017",2017-06-04,2017.0
2017.06.02,Unprovoked,BAHAMAS,New Providence ,Athol Island,snorkeling,F,32,N,tiger shark,"Tribune 242, 6/2/2017",2017-06-02,2017.0
2017.05.30,Provoked,USA,South Carolina,"Awendaw, Charleston County",unknown,F,20,N,unknown,"C. Creswell, GSAF",2017-05-30,2017.0
2017.05.28,Unprovoked,USA,Florida,Off Jupiter,unknown,M,Unknown,N,tiger shark,"M. Michaelson, GSAF",2017-05-28,2017.0
2017.05.27,Invalid,AUSTRALIA,New South Wales,Evans Head,fishing,M,73,N,unknown,"B. Myatt, GSAF",2017-05-27,2017.0
2017.05.12,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,spearfishing,M,41,N,unknown,"Gulf News, 5/13/2017",2017-05-12,2017.0
2017.05.06.R,Provoked,AUSTRALIA,Queensland,Weipa,attempting,M,29,N,unknown,"The Sun, 5/6/2017",2017-05-06,2017.0
2017.05.06,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",snorkeling,M,33,Y,unknown,J. Rozada,2017-05-06,2017.0
2017.05.03,Invalid,USA,California,"Sunset Beach, Orange County",surfing,F,18,Unknown,unknown,"R. Collier, GSAF",2017-05-03,2017.0
2017.04.29.d,Unprovoked,USA,California,"San Onofre, San Diego County ",swimming,F,Unknown,N,unknown,"R. Collier, GSAF",2017-04-29,2017.0
2017.04.29.c,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",surfing,M,14,N,unknown,"J. de Villiars, News24, 4/29/2017",2017-04-29,2017.0
2017.04.29.b,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",surfing,F,33,N,unknown,"C. Creswell, GSAF",2017-04-29,2017.0
2017.04.29.a,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,boarding,M,28,Y,unknown,"Clicanoo, 4/29/2017",2017-04-29,2017.0
2017.04.27,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",boarding,F,Unknown,N,unknown,"C.Black, GSAF",2017-04-27,2017.0
2017.04.26,Invalid,USA,Florida,Unknown,unknown,F,Unknown,Unknown,unknown,"The Sun, 5/6/2017",2017-04-26,2017.0
2017.04.22,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,snorkeling,F,40,N,unknown,"Daily Mail, 4/25/2017",2017-04-22,2017.0
2017.04.20,Invalid,USA,South Carolina,Georgetown County,swimming,M,Unknown,Unknown,unknown,"C. Creswell, GSAF",2017-04-20,2017.0
2017.04.17.b,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",unknown,Unknown,Unknown,N,unknown,"Daytona Beach News-Journal, 4/17/2017",2017-04-17,2017.0
2017.04.17.a,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,surfing,F,17,Y,white shark,"B. Myatt, GSAF",2017-04-17,2017.0
2017.04.14,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",surfing,M,28,N,tiger shark,"Hawaii News Now, 4/14/2017",2017-04-14,2017.0
2017.04.13,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",surfing,M,17,N,unknown,"News4Jax, 4/14/2017",2017-04-13,2017.0
2017.04.12.b,Unprovoked,USA,Florida,St. Augustine,surfing,F,Unknown,N,unknown,"The Surf Station, 4/13/2017",2017-04-12,2017.0
2017.04.12.a,Invalid,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,diving,M,68,Unknown,unknown,"E. Ritter, GSAF",2017-04-12,2017.0
2017.04.11,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",surfing,F,35,N,unknown,"WFTV, 4/11/2017",2017-04-11,2017.0
2017.04.10.b,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",boarding,F,10,N,unknown,"Brevard Times, 4/10/2017",2017-04-10,2017.0
2017.04.10.a,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",swimming,F,21,N,unknown,"Brevard Times, 4/10/2017",2017-04-10,2017.0
2017.04.06,Unprovoked,USA,Florida,"Daytona, Volusia County",swimming,M,16,N,unknown,"Bradenton Herald, 4/7/2017",2017-04-06,2017.0
2017.04.05,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",swimming,F,51,N,unknown,"AJC, 4/5/2017",2017-04-05,2017.0
2017.04.02.b,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,unknown,M,39,N,unknown,"Philly.com, 4/3/2017",2017-04-02,2017.0
2017.04.02.a,Unprovoked,USA,Florida,"Destin, Okaloosa County",swimming,F,17,N,bull shark,Okaloosa County Sheriff's Office,2017-04-02,2017.0
2017.03.27,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,58,N,unknown,"Orlando Sentinel, 3/27/2017",2017-03-27,2017.0
2017.03.19,Unprovoked,AUSTRALIA,New South Wales,The Farm,boarding,M,30,N,unknown,"Illawarra Mercury, 1/19/2017",2017-03-19,2017.0
2017.03.18,Boating,USA,California,Monterey Bay,kayaking,M,Unknown,N,white shark,"R. Collier, GSAF",2017-03-18,2017.0
