Case Number,Month,Year,Type,Country,Area,Location,Activity,Injury,Fatal (Y/N),Time,Species ,Investigator or Source,pdf,URL Reference
2016.07.07.a,Jul,2016,Boat,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing for sharks,"No injury. Hull bitten, tooth fragment recovered",N,,White shark,"R. Collier, GSAF",2016.07.07.a-PoeBoat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.a-PoeBoat.pdf
2016.07.06,Jul,2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,"Buttocks, thigh, left hand & wrist injured",N,14h30 / 15h30,,"Florida Today, 7/6/2016",2016.07.06-Njwoman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.06-Njwoman.pdf
2016.07.04,Jul,2016,Provoked,AUSTRALIA,Queensland,Palm Cove,Fishing,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,22h00,Tawny nurse shark,"Cairns Post, 7/9/2016",2016.07.04-Oliver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.04-Oliver.pdf
2016.06.27,Jun,2016,Unprovoked,USA,South Carolina,Sullivan's Island,,Minor injury,N,16h20,3' to 4' shark,"C. Creswell, GSAF",2016.06.27-Sullivans.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.27-Sullivans.pdf
2016.06.25,Jun,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,Foot injured,N,14h34,,"C. Creswell, GSAF",2016.06.25-AtlanticBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.25-AtlanticBeach.pdf
2016.06.24,Jun,2016,Unprovoked,COLUMBIA,Isla Provedencia,,Scuba Diving,Severe bite to right hand,N,11h00,"Caribbean reef shark, 4.5'",Dr. A. Velez,2016.06.24-Velez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.24-Velez.pdf
2016.06.23,Jun,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,Injuries to left leg & right hand,N,,White shark,"News 24, 6/23/2016",2016.06.23-Rysport.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.23-Rysport.pdf
2016.06.21.b,Jun,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,Lacerations and punctures to foot,N,15h25,3' to 5' shark,"C. Creswell, GSAF",2016.06.21.b-Schott.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.b-Schott.pdf
2016.06.21.a,Jun,2016,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,Injuries to right calf,N,14h55,,"Florida Today, 6/22/2016",2016.06.21.a-SatelliteBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.a-SatelliteBeach.pdf
2016.06.15.b,Jun,2016,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,Single puncture wound to arm,N,06h00,3' to 4' shark,"West Hawaii Today, 6/16/2016",2016.06.15.b-Kauai.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.b-Kauai.pdf
2016.06.15.a,Jun,2016,Provoked,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,,5' shark,"Perth Now, 6/16/2016",2016.06.15.a-Vale.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.a-Vale.pdf
2016.06.14,Jun,2016,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating in tube,Injury to lower leg,N,17h30,3' to 4' shark,"Click2Houston, 6/14/2016",2016.06.14-Melton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.14-Melton.pdf
2016.06.11,Jun,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,Laceration to wrist,N,15h00,3' shark,"C. Creswell, GSAF",2016.06.11-Bowen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.11-Bowen.pdf
2016.06.07,Jun,2016,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,"No injury, board damaged",N,11h30,Said to involve an 8' shark but more likely damage caused by debris,"C. Creswell, GSAF",2016.06.07-Oneill.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.07-Oneill.pdf
2016.06.05.b,Jun,2016,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,Leg bitten,N,08h30,,"Daytona Beach News-Journal, 6/5/2016",2016.06.05.b-Flagler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.b-Flagler.pdf
2016.06.05.a,Jun,2016,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,FATAL,Y,11h30,3+ m shark,"B. Myatt, GSAF",2016.06.05.a-Collyer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.a-Collyer.pdf
2016.06.04,Jun,2016,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,"Leg severely bitten, surgically amputated",N,Morning,Mako shark,"Ahram Online, 6/4/2016",2016.06.04-Qader.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Qader.pdf
2016.06.02.b,Jun,2016,Unprovoked,AUSTRALIA,New South Wales,Kingscliff,Spearfishing,"No injury, but sharks repeatedly hit their fins and guns",UNKNOWN,,Bronze whaler sharks x 3,"Gold Coast Bulletin, 6/4/2016",2016.06.02.b-Matigan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.b-Matigan.pdf
2016.06.02.a,Jun,2016,Unprovoked,NEW CALEDONIA,,"Côte-Blanche, Nouméa",Kite surfing,Laceration to heel,N,Afternoon,3 m shark,"Les Nouvelles Caledoniennes, 6/3/2016",2016.06.02.a-Pierre.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.a-Pierre.pdf
2016.05.31,May,2016,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,FATAL,Y,16h00,White shark,"Perth Now, 5/31/2016",2016.05.31-Gerring.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.31-Gerring.pdf
2016.05.29.b,May,2016,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,Injuries to arm and shoulder,N,16h00,,"R. Collier, GSAF",2016.05.29.b-Corona.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.b-Corona.pdf
2016.05.29.a,May,2016,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,Injury to posterior right leg,N,15h45,5' shark,"News4Jax, 5/29/2016",2016.05.29.a-Neptune.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.a-Neptune.pdf
2016.05.22,May,2016,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,Puncture wounds to thigh,N,12h00,,"Florida Today, 5/22/2016",2016.05.22-Marcus.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.22-Marcus.pdf
2016.05.21.b,May,2016,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,Lacerations and puncture wounds to foot and ankle,N,18h00,"Bull shark, 4' to 5'","ABC Action News, 6/15/2016",2016.05.21.b-Magee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.b-Magee.pdf
2016.05.21.a,May,2016,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,"Back, arm & hand injured",N,17h46,,"Action News Jax, 5/23/2016",2016.05.21.a-Girl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.a-Girl.pdf
2016.05.18,May,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,Ankle bitten,N,Morning ,"Blacktip shark, 4'","News4Jax, 5/19/2016",2016.05.18-Wilson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.18-Wilson.pdf
2016.05.15,May,2016,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,Arm grabbed PROVOKED INCIDENT,N,13h20,"Nurse shark, 2'","CBS News, 5/16/2016",2016.05.15-Boca.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.15-Boca.pdf
2016.05.03,May,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,Minor lacerations to right shoulder,N,15h49,,"Maui Now, 5/3/2016",2016.05.03-Maui.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.03-Maui.pdf
2016.05.02,May,2016,Provoked,NEW ZEALAND,North Island,Cormandel,Fishing,Foot bitten by landed shark PROVOKED INCIDENT,N,Afternoon,"Mako shark, 1.5 m [5']",Radio New Zealand  5/3/2016,2016.05.02-NZ-pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.02-NZ-pdf
2016.04.25,Apr,2016,Unprovoked,INDONESIA,Bali,Balian,Surfing,Elbow bitten,N,07h00,"Bull shark, 6'","News.com.au, 4/26/2016",2016.04.25-Boarman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.25-Boarman.pdf
2016.04.23,Apr,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Minor injury to left foot,N,17h30,,"News4Jax, 4/23/2016",2016.04.23-Beardall.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.23-Beardall.pdf
2016.04.22,Apr,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,"No injury, surf-ski bitten",N,08h00,White shark,"Knysna-Plett Herald, 4/22/2016",2016.04.22-Manson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.22-Manson.pdf
2016.04.19,Apr,2016,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,Minor puncture wound to foot,N,12h00,Wobbegong shark,"Gold Coast Bulletin, 4/19/2016",2016.04.19-Kedem.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.19-Kedem.pdf
2016.04.18,Apr,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Spearfishing,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,,"Grey reef shark, 2 m","Tahiti Infos, 4/19/2016",2016.04.18-Tokoragi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.18-Tokoragi.pdf
2016.04.13,Apr,2016,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,Multiple bites to right arm,N,,"Bull shark, 7'","Palm Beach Post, 4/13/2016",2016.04.13-Senkowicz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.13-Senkowicz.pdf
2016.04.09,Apr,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,FATAL,Y,10h45,"Tiger shark, 2.5 m",Les Nouvelles Caledonnie. 4/11/2016,2016.04.09-Malignon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.09-Malignon.pdf
2016.04.08,Apr,2016,Invalid,CAPE VERDE,Boa Vista Island,,,"""Serious""",N,,Shark involvement not confirmed,L.O.Guttke,2016.04.08-CapeVerde.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.08-CapeVerde.pdf
2016.04.07.b,Apr,2016,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Fishing,Left hand bitten,N,,5' to 6' shark,,2016.04.07.b-Lester.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.b-Lester.pdf
2016.04.07.a,Apr,2016,Invalid,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",SUP,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N,,,YouTube,2016.04.07.a-Trinidad.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.a-Trinidad.pdf
2016.03.31,Mar,2016,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,Minor injury to left foot,N,11h00,,"Maui Now, 3/31/2016",2016.03.31-Orr.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.31-Orr.pdf
2016.03.30,Mar,2016,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach,Surfing,Severe injury to thigh,N,19h00,,"Daily Telegraph, 3/30/2016",2016.03.30-Connellan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.30-Connellan.pdf
2016.03.28.b,Mar,2016,Unprovoked,USA,Florida,"Fort Myers Beach, Lee County",,Minor injury to arm. Possibly caused by smalll nurse shark,N,,Shark involvement not confirmed,"Fox 35, 3/30/2015",2016.03.28.b-Kawa.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.28.b-Kawa.pdf
2016.03.28.a,Mar,2016,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,"No injury, board dented",N,11h00,,"B. Myatt, GSAF",2013.03.28.a-Smyth.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.28.a-Smyth.pdf
2016.03.26,Mar,2016,Provoked,BAHAMAS,,,,Minor injury to chest PROVOKED INCIDENT,N,,"Nurse shark, 2.5-ft","Wisconsin State Journal, 4/2/2016",2016.03.26-Kreckman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.26-Kreckman.pdf
2016.03.13,Mar,2016,Invalid,USA,California,"Bolsa Chica State Park, Orange County",Surfing,Board reportedly bumped by shark. No injury,N,Morning,Shark involvement not confirmed,"Orange County Register, 3/13/2016",2016.03.13-BolsaChicaSurfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.13-BolsaChicaSurfer.pdf
2016.03.11,Mar,2016,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County",Body surfing,Lacerations to right foot and ankle,N,13h30,,"WCBV-5, 3/31/206",2016.03.11-Kenny.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.11-Kenny.pdf
2016.03.10,Mar,2016,Unprovoked,Fiji,Vanua Levu,,Diving for beche-de-mer,FATAL,Y,Afternoon,,"Fiji Sun, 3/12/2016",2016.03.10-Tabua.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.10-Tabua.pdf
2016.03.04,Mar,2016,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",,Superficial injury to foot,N,Afternoon,,WPTV. 3/4/2016,2016.03.04-OCPark.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.04-OCPark.pdf
2016.03.03.R,Mar,2016,Unprovoked,AUSTRALIA,South Australia,Wrights Bay,Fishing,Puncture wounds to right calf,N,Midnight,Bronze whaler,"9 News, 3/1/2016",2016.03.03.R-Taplin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.03.R-Taplin.pdf
2016.03.02,Mar,2016,Unprovoked,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,Swimming,Minor injury to head,N,,Sandtiger shark,"Misones Online, 3/4/2016",2016.03.02-Thomas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.02-Thomas.pdf
2016.02.22,Feb,2016,Unprovoked,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",Kite surfing,Puncture wounds to right thigh,N,19h00,,"Les Nouvelles Calédoniennes, 2/23/2016",2016.02.22-Noumea.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.22-Noumea.pdf
2016.02.19,Feb,2016,Unprovoked,NEW CALEDONIA,South Province,Yate,Spearfishing,Forearm bitten,N,16h00,,"Les Nouvelles Calédoniennes, 2/19/2016",2016.02.19-NewCaledonia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.19-NewCaledonia.pdf
2016.02.12,Feb,2016,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",Wading,Avulsion injury to lower leg,N,15h00,,S. Harris,2016.02.12-Howe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.12-Howe.pdf
2016.02.10.R,Feb,2016,Invalid,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,Feeding stingrays?,Minor injury to wrist from Southern stingray,N,,No shark involvement,R. Branson,2016.02.10.R-Branson-stingray.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.10.R-Branson-stingray.pdf
2016.02.10,Feb,2016,Invalid,AUSTRALIA,Tasmania,Nettley Bay,Surfing,"No injury, knocked off board",N,12h30,No shark involvement,"C. Black, GSAF",2016.02.11-NettleyBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.11-NettleyBay.pdf
