Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Avg age,Injury,Fatal,Investigator or Source,href formula
2016.07.06,2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,42.0,28.0,"Buttocks, thigh, left hand & wrist injured",N,"Florida Today, 7/6/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.06-Njwoman.pdf
2016.06.27,2016,Unprovoked,USA,South Carolina,Sullivan's Island,,M,35.0,28.0,Minor injury,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.27-Sullivans.pdf
2016.06.25,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,11.0,28.0,Foot injured,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.25-AtlanticBeach.pdf
2016.06.21,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,M,42.0,28.0,Lacerations and punctures to foot,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.b-Schott.pdf
2016.06.21,2016,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,M,,28.0,Injuries to right calf,N,"Florida Today, 6/22/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.a-SatelliteBeach.pdf
2016.06.15,2016,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,M,,28.0,Single puncture wound to arm,N,"West Hawaii Today, 6/16/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.b-Kauai.pdf
2016.06.14,2016,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating in tube,F,,28.0,Injury to lower leg,N,"Click2Houston, 6/14/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.14-Melton.pdf
2016.06.11,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,M,19.0,28.0,Laceration to wrist,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.11-Bowen.pdf
2016.06.07,2016,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,27.0,28.0,"No injury, board damaged",N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.07-Oneill.pdf
2016.06.05,2016,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,M,64.0,28.0,Leg bitten,N,"Daytona Beach News-Journal, 6/5/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.b-Flagler.pdf
2016.05.29,2016,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,52.0,28.0,Injuries to arm and shoulder,N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.b-Corona.pdf
2016.05.29,2016,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,M,13.0,28.0,Injury to posterior right leg,N,"News4Jax, 5/29/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.a-Neptune.pdf
2016.05.22,2016,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,57.0,28.0,Puncture wounds to thigh,N,"Florida Today, 5/22/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.22-Marcus.pdf
2016.05.21,2016,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,22.0,28.0,Lacerations and puncture wounds to foot and ankle,N,"ABC Action News, 6/15/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.b-Magee.pdf
2016.05.21,2016,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,11.0,28.0,"Back, arm & hand injured",N,"Action News Jax, 5/23/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.a-Girl.pdf
2016.05.18,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,M,48.0,28.0,Ankle bitten,N,"News4Jax, 5/19/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.18-Wilson.pdf
2016.05.15,2016,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,F,23.0,28.0,Arm grabbed PROVOKED INCIDENT,N,"CBS News, 5/16/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.15-Boca.pdf
2016.05.03,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,M,59.0,28.0,Minor lacerations to right shoulder,N,"Maui Now, 5/3/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.03-Maui.pdf
2016.04.23,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15.0,28.0,Minor injury to left foot,N,"News4Jax, 4/23/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.23-Beardall.pdf
2016.04.13,2016,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,M,26.0,28.0,Multiple bites to right arm,N,"Palm Beach Post, 4/13/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.13-Senkowicz.pdf
2016.04.07,2016,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Fishing,M,34.0,28.0,Left hand bitten,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.b-Lester.pdf
2016.04.07,2016,Invalid,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",SUP,M,,28.0,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N,YouTube,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.a-Trinidad.pdf
2016.03.31,2016,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,46.0,28.0,Minor injury to left foot,N,"Maui Now, 3/31/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.31-Orr.pdf
2016.03.28,2016,Unprovoked,USA,Florida,"Fort Myers Beach, Lee County",,M,,28.0,Minor injury to arm. Possibly caused by smalll nurse shark,N,"Fox 35, 3/30/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.28.b-Kawa.pdf
2016.03.13,2016,Invalid,USA,California,"Bolsa Chica State Park, Orange County",Surfing,,,28.0,Board reportedly bumped by shark. No injury,N,"Orange County Register, 3/13/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.13-BolsaChicaSurfer.pdf
2016.03.11,2016,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County",Body surfing,M,19.0,28.0,Lacerations to right foot and ankle,N,"WCBV-5, 3/31/206",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.11-Kenny.pdf
2016.03.04,2016,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",,M,12.0,28.0,Superficial injury to foot,N,WPTV. 3/4/2016,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.04-OCPark.pdf
2016.01.28,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,,28.0,Lacerations to both hands,N,KHON2. 1/28/2016,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.28-Kauai.pdf
2016.01.25,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai,",Surfing,F,15.0,28.0,No injury,N,"The Garden Island, 2/2/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.25-Waldman.pdf
2016.01.24,2016,Unprovoked,USA,Texas,Off Surfside,Spearfishing,M,,28.0,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,K. Love,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.24.b-Love.pdf
2016.01.23,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Paddle boarding,M,48.0,28.0,No injury,N,"Grand Forks Herald, 1/27/2915",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.23-Mason.pdf
2015.12.22,2015,Unprovoked,USA,Hawaii,La'aloa Beach Park,Paddle boarding,M,71.0,28.0,"No injury, shark bit board",N,"West Hawaii Today, 12/23/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.22-Ford.pdf
2015.11.16,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,,28.0,Right heel injured,N,WFTV. 11/17/2015,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.16-Conti.pdf
2015.11.15,2015,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Swimming,F,,28.0,Leg injured,N,"Palm Beach Post, 11/16/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.15.b-PalmBeach.pdf
2015.11.15,2015,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,M,28.0,28.0,Lacerations to hand,N,"5WPTV, 11/15/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.15.a-Engelman.pdf
2015.12.23,2015,Invalid,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,F,,28.0,Lower left leg injured,N,"Fox25Orlando, 11/7/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.07-Underwood.pdf
2015.11.03,2015,Unprovoked,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,M,54.0,28.0,Laceration to right ankle,N,"Hawaii News Now, 11/4/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.03-O'Leary.pdf
2015.11.01,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,F,28.0,28.0,Injury to right ankle/calf & hand,N,"USA Today, 11/1/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.01.b-Kruse.pdf
2015.10.28,2015,Unprovoked,USA,Hawaii,"Malaka, Oahu",Body boarding,M,10.0,28.0,"Lacerations & puncture wounds to right thigh, calf & ankle",N,"Star Advertiser, 10/28/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.28-Senensi.pdf
2015.10.21,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,21.0,28.0,Lacerations to left hand,N,"ClickOrlando.com, 10/21/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.21-Playalinda.pdf
2015.10.19,2015,Unprovoked,USA,Florida,"Deerfield Beach, Broward County",Surfing,M,21.0,28.0,Left foot bitten,N,"NBC6.com, 10/19/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.19-Kirn.pdf
2015.10.17,2015,Invalid,USA,Hawaii,"Waikiki,",Surfing,M,32.0,28.0,Left foot bitten by eel,N,"KHON2, 10/17/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.b.-Hawaii. pdf
2015.10.17,2015,Unprovoked,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,M,44.0,28.0,Injuries to lower legs,N,"KHON2, 10/17/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.a-Lee.pdf
2015.10.13,2015,Boat,USA,California,"Off Leffingwell Landing, San Luis Obispo County",Kayak Fishing,M,,28.0,"No injury, shark rammed kayak repeatedly",N,"The Tribune, 10/28/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.13-Pavacich-kayak.pdf
2015.10.09,2015,Unprovoked,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,F,,28.0,Laceration to forearm,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.b-Kershner.pdf
2015.10.09,2015,Unprovoked,USA,Hawaii,"Leftovers, Oahu",Surfing,M,25.0,28.0,"Left leg severed below the knee, defense injuries to left hand",N,"Hawaii News Now, 10/9/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.a-Cook.pdf
2015.10.05,2015,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,M,22.0,28.0,2 lacerations to ankle,N,"WPBF.com, 10/6/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.05.b-FtPierce.pdf
2015.10.05,2015,Unprovoked,USA,Texas,Galveston,Wading,M,13.0,28.0,Foot & hands bitten,N,"Houston Chronicle, 10/5/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.05.a-Slaughter.pdf
2015.10.04,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14.0,28.0,Severe lacerations to left hand,N,"CNN, 10/4/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.04-Tarasovic.pdf
2015.09.29,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,M,22.0,28.0,"Laceration to heel, puncture wounds to dorsum of foot",N,"First Coast News, 9/30/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.29-Morrison.pdf
2015.09.24,2015,Unprovoked,USA,California,"Horseshoe Rock, Santa Barbara County",Kayak fishing,M,,28.0,"No injury, kayak damaged",N,R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.24-Kenney.pdf
2015.09.20,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14.0,28.0,Minor injury to left ankle,N,"Orlando Sentinel, 9/20/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.d-NSB.pdf
2015.09.20,2015,Unprovoked,USA,Hawaii,"Upolu Point, North Kohala, Big Island",Spearfishing,M,27.0,28.0,Severe laceration to left leg,N,"Big Island Video, 9/20/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.c-Braxton.pdf
2015.09.20,2015,Unprovoked,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,M,12.0,28.0,Significant injuries to leg,N,"News4Jax, 9/21/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.b-Bitner.pdf
2015.09.20,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Photographing fish,M,16.0,28.0,Injury to right hand / wrist,N,"News4JAX, 9/21/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.a-Schiavo.pdf
2015.09.18,2015,Unprovoked,USA,Florida,"Big Talbot Island, Duval County",Swimming,M,,28.0,Lacerations to calf,N,"Action News Jax, 9/23/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.18-Vergenz.pdf
2015.09.17,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,20.0,28.0,Injury to right foot,N,"News4JAX, 9/15/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.17-Liebetrau.pdf
2015.09.06,2015,Unprovoked,USA,California,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,F,50.0,28.0,"No injury, shark struck board, tossing her into the sea",N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.06-Gennaro.pdf
2015.09.05,2015,Provoked,USA,California,"Deer Creek Beach, Ventura County",Kayak Fishing,M,29.0,28.0,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.05-Marks.pdf
2015.09.03,2015,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",,M,,28.0,Right foot bitten,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.03-Wagner.pdf
2015.08.29,2015,Unprovoked,USA,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,F,54.0,28.0,"No injury, surfboard bitten",N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.29.b-Dempsey.pdf
2015.08.29,2015,Unprovoked,USA,California,"Morro Bay, San Luis Obispo County",Surfing,M,21.0,28.0,"No injury, shark struk sufer's leg and his board",N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.29.a-Phillips.pdf
2015.08.22,2015,Invalid,USA,Florida,"Cocoa Beach, Brevard  County",,M,,28.0,Wound to right lower leg,N,"Brevard Times, 8/22/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.22.b-CocoaBeach.pdf
2015.08.20,2015,Unprovoked,USA,South Carolina,"Murrells Inlet, Georgetown County",Surfing,M,15.0,28.0,"Injuries to left calf, arm and hand",N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.20-Peyton.pdf
2015.08.19,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Walking,F,10.0,28.0,Lacerations to right leg,N,"ABC News, 8/21/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.19-Szsarmack
2015.08.18,2015,Unprovoked,USA,California,Santa Barbara County,Kayak Fishing,M,22.0,28.0,"No injury, kayak bitten",N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.18.b-Lyon.pdf
2015.08.10,2015,Provoked,USA,California,Cortes Bank,Spearfishing,M,57.0,28.0,Right hand bitten  PROVOKED INCIDENT,N,"NBC San Diego, 8/13/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.10-Shafer.pdf
2015.07.26,2015,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,25.0,28.0,Minor injury to sole of foot,N,CBS 7/27/2015,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.26.b-Warrilow.pdf
2015.07.26,2015,Invalid,USA,South Carolina,"Edisto Beach, Colleton County",Floating,F,35.0,28.0,"2' cut to dorsum of foot, 2 puncture wounds to sole",N,"C. Creswell, GSAF, ABC 11, 7/27/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.26.a-Edisto.pdf
2015.07.23,2015,Provoked,USA,California,"La Jolla, San Diego County",Kayak Fishing,M,31.0,28.0,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N,"NBC San Diego, 7/27/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.23.b-Lorber.pdf
2015.07-10,2015,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,M,38.0,28.0,"No injury, shark bumped & damaged board",N,"KTLA, 7/10/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.10-Miskin.pdf
2015.07.08,2015,Invalid,USA,California,"Huntington Beach, Orange County",Treading water,M,39.0,28.0,Laceration to back,N,"Sentinel & Enterprise.com, 10/4/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.08-Finney.pdf
2015.07.04,2015,Unprovoked,USA,North Carolina,"Off Surf City, Pender County",,M,32.0,28.0,Lacerations to right hand & forearm,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.04.a-Marine.pdf
2015.07.01,2015,Unprovoked,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,M,68.0,28.0,"Injuries to torso, hip, lower leg & hands",N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.01-Costello.pdf
2015.06.30,2015,Unprovoked,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Playing in the water,M,12.0,28.0,Shallow lacerations & puncture to lateral left leg,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.30.a.pdf-Weakley.pdf
2015.06.27,2015,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Swimming,M,18.0,28.0,"Injuries to right calf, buttock and both hands",N,"C. Creswell, WRAL, 6/27/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.27.b-Rodanthe.pdf
2015.06.26,2015,Invalid,USA,Florida,"Jacksonville Beach, Duval County",Swimming,F,,28.0,Minor lacerations to leg,N,"Action News Jax, 6/26/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.26.c-Jacksonville.pdf
2015.06.26,2015,Unprovoked,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,M,43.0,28.0,Puncture wounds to foot,N,"C. Creswell, GSAF; WCNC, 6/26/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.26.a-Donahue.pdf
2015.06.25,2015,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,M,47.0,28.0,Multiple lacerations to back,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.25-Avon.pdf
2015.06.24,2015,Unprovoked,USA,North Carolina,Surf City,Swimming,M,,28.0,Minor injury to foot,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.24.b-Noyes.pdf
2015.06.23,2015,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",Standing,M,,28.0,Minor injury to calf ,N,"C. Creswell, GSAF; R. Lurye, Island Packet",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.23-Davenport.pdf
2015.06.17,2015,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,10.0,28.0,Minor injury to calf ,N,"WTXL TV, 6/17/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.17-Simpson.pdf
2015.06.14,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,M,16.0,28.0,Arm amputated below shoulder,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.14.b-Treschel.pdf
2015.06.14,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,F,12.0,28.0,Left arm amputated at elbow & severe injury to leg,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.14.a-Yow.pdf
2015.06.13,2015,Unprovoked,USA,California,Off San Diego,,F,,28.0,Severe laceration to leg,N,"Courthouse News Service, 11/18/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/Court Case pending
2015.06.11,2015,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Boogie boarding,F,13.0,28.0,Minor lacerations to foot,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.11-OceanIsle.pdf
