date,month,year,type,country,activity,sex,age,fatal (y/n)
24-Jan-16,jan,2016,Boat,UNITED ARAB EMIRATES,Fishing,M,,N
23-Jan-16,jan,2016,Unprovoked,USA,Paddle boarding,M,48,N
Reported 11-Jan-2016,jan,2016,Unprovoked,AUSTRALIA,Surfing,M,,N
05-Jan-16,jan,2016,Unprovoked,AUSTRALIA,Wading,M,11,N
02-Jan-16,jan,2016,Unprovoked,AUSTRALIA,Spearfishing,M,31,N
26-Dec-15,dec,2015,Boat,SOUTH AFRICA,Kayak Fishing,M,,N
25-Dec-15,dec,2015,Unprovoked,SPAIN,Swimming,F,38,N
22-Dec-15,dec,2015,Unprovoked,USA,Paddle boarding,M,71,N
21-Dec-15,dec,2015,Unprovoked,AUSTRALIA,Surfing,M,43,N
21-Dec-15,dec,2015,Unprovoked,BRAZIL,Scuba diving,M,32,N
19-Dec-15,dec,2015,Unprovoked,ARUBA,Sea disaster,M,58,Y
13-Dec-15,dec,2015,Boat,AUSTRALIA,Fishing,,,N
11-Dec-15,dec,2015,Unprovoked,BAHAMAS,Lobster fishing,M,26,N
08-Dec-15,dec,2015,Unprovoked,SOUTH AFRICA,Swimming / Wading,F,22,N
16-Nov-15,nov,2015,Unprovoked,USA,Surfing,M,,N
15-Nov-15,nov,2015,Unprovoked,USA,Swimming,F,,N
15-Nov-15,nov,2015,Unprovoked,USA,Surfing,M,28,N
10-Nov-15,nov,2015,Unprovoked,AUSTRALIA,Surfing,M,20,N
07-Nov-15,nov,2015,Invalid,USA,Surfing,F,9,N
03-Nov-15,nov,2015,Unprovoked,USA,Swimming,M,54,N
01-Nov-15,nov,2015,Unprovoked,USA,Wading,F,28,N
01-Nov-15,nov,2015,Unprovoked,MOZAMBIQUE,Fishing,M,19,N
30-Oct-15,oct,2015,Unprovoked,AUSTRALIA,Spearfishing,M,50,N
28-Oct-15,oct,2015,Unprovoked,USA,Body boarding,M,10,N
25-Oct-15,oct,2015,Unprovoked,SOUTH AFRICA,Surfing,M,42,N
21-Oct-15,oct,2015,Unprovoked,USA,Surfing,M,21,N
19-Oct-15,oct,2015,Unprovoked,USA,Surfing,M,21,N
17-Oct-15,oct,2015,Unprovoked,MOZAMBIQUE,Fishing for shrimp,F,35,Y
17-Oct-15,oct,2015,Invalid,USA,Surfing,M,32,N
17-Oct-15,oct,2015,Unprovoked,USA,Swimming,M,44,N
13-Oct-15,oct,2015,Boat,USA,Kayak Fishing,M,,N
09-Oct-15,oct,2015,Unprovoked,USA,Boogie boarding,F,9,N
09-Oct-15,oct,2015,Unprovoked,USA,Surfing,M,25,N
08-Oct-15,oct,2015,Unprovoked,MOZAMBIQUE,Fishing,M,,N
07-Oct-15,oct,2015,Unprovoked,AUSTRALIA,Surfing,M,18,N
05-Oct-15,oct,2015,Unprovoked,USA,Body boarding,M,22,N
05-Oct-15,oct,2015,Unprovoked,USA,Wading,M,13,N
04-Oct-15,oct,2015,Unprovoked,USA,Surfing,M,14,N
29-Sep-15,sep,2015,Unprovoked,USA,Surfing,M,22,N
26-Sep-15,sep,2015,Unprovoked,AUSTRALIA,Snorkeling,F,7,N
24-Sep-15,sep,2015,Unprovoked,USA,Kayak fishing,M,,N
20-Sep-15,sep,2015,Unprovoked,USA,Surfing,M,14,N
20-Sep-15,sep,2015,Unprovoked,USA,Spearfishing,M,27,N
20-Sep-15,sep,2015,Unprovoked,USA,Wading,M,12,N
20-Sep-15,sep,2015,Unprovoked,USA,Photographing fish,M,16,N
18-Sep-15,sep,2015,Unprovoked,USA,Swimming,M,,N
17-Sep-15,sep,2015,Unprovoked,USA,Surfing,M,20,N
08-Sep-15,sep,2015,Unprovoked,AUSTRALIA,Surfing,M,42,N
06-Sep-15,sep,2015,Unprovoked,USA,Stand-Up Paddleboarding,F,50,N
05-Sep-15,sep,2015,Provoked,USA,Kayak Fishing,M,29,N
04-Sep-15,sep,2015,Unprovoked,AUSTRALIA,Surf-skiing,M,62,N
03-Sep-15,sep,2015,Unprovoked,USA,,M,,N
01-Sep-15,sep,2015,Unprovoked,THAILAND,Wading,F,37,N
29-Aug-15,aug,2015,Unprovoked,USA,Surfing,F,54,N
29-Aug-15,aug,2015,Unprovoked,USA,Surfing,M,21,N
22-Aug-15,aug,2015,Invalid,USA,,M,,N
22-Aug-15,aug,2015,Unprovoked,AUSTRALIA,Surfing,M,38,N
20-Aug-15,aug,2015,Unprovoked,USA,Surfing,M,15,N
19-Aug-15,aug,2015,Unprovoked,USA,Walking,F,10,N
18-Aug-15,aug,2015,Unprovoked,USA,Kayak Fishing,M,22,N
18-Aug-15,aug,2015,Invalid,SPAIN,Swimming,M,10,N
10-Aug-15,aug,2015,Provoked,USA,Spearfishing,M,57,N
31-Jul-15,jul,2015,Unprovoked,AUSTRALIA,Surfing,M,52,N
26-Jul-15,jul,2015,Unprovoked,USA,Surfing,M,25,N
26-Jul-15,jul,2015,Invalid,USA,Floating,F,35,N
25-Jul-15,jul,2015,Unprovoked,AUSTRALIA,Scallop diving on hookah,M,46,Y
23-Jul-15,jul,2015,Provoked,USA,Kayak Fishing,M,31,N
23-Jul-15,jul,2015,Unprovoked,AUSTRALIA,Surfing,M,40s,N
22-Jul-15,jul,2015,Unprovoked,REUNION,Surfing,M,45,N
19-Jul-15,jul,2015,Unprovoked,SOUTH AFRICA,Surfing,M,34,N
10-Jul-15,jul,2015,Unprovoked,USA,Surfing,M,38,N
08-Jul-15,jul,2015,Invalid,USA,Treading water,M,39,N
06-Jul-15,jul,2015,Invalid,FRENCH POLYNESIA,Swimming,M,,N
04-Jul-15,jul,2015,Unprovoked,BAHAMAS,Spearfishing,F,23,N
04-Jul-15,jul,2015,Unprovoked,USA,,M,32,N
03-Jul-15,jul,2015,Unprovoked,AUSTRALIA,Surfing,M,52,N
02-Jul-15,jul,2015,Unprovoked,AUSTRALIA,Body boarding ,M,32,N
01-Jul-15,jul,2015,Unprovoked,USA,Swimming,M,68,N
30-Jun-15,jun,2015,Unprovoked,AUSTRALIA,Surfing,M,,N
30-Jun-15,jun,2015,Unprovoked,USA,Playing in the water,M,12,N
27-Jun-15,jun,2015,Unprovoked,USA,Swimming,M,18,N
27-Jun-15,jun,2015,Unprovoked,SOUTH AFRICA,Body Boarding,M,19,N
26-Jun-15,jun,2015,Invalid,USA,Swimming,F,,N
26-Jun-15,jun,2015,Unprovoked,SOUTH AFRICA,Surfing,M,23,N
26-Jun-15,jun,2015,Unprovoked,USA,Standing,M,43,N
Reported 25-Jun-2015,jun,2015,Provoked,AUSTRALIA,Swimming,M,19,N
25-Jun-15,jun,2015,Unprovoked,USA,Body surfing?,M,47,N
24-Jun-15,jun,2015,Unprovoked,USA,Swimming,M,6,N
24-Jun-15,jun,2015,Invalid,AUSTRALIA,Surfing,F,37,N
23-Jun-15,jun,2015,Unprovoked,USA,Standing,M,9,N
19-Jun-15,jun,2015,Unprovoked,PUERTO RICO,Spearfishing,M,36,N
17-Jun-15,jun,2015,Unprovoked,USA,Swimming,M,10,N
14-Jun-15,jun,2015,Unprovoked,USA,Wading,M,16,N
14-Jun-15,jun,2015,Unprovoked,USA,Wading,F,12,N
13-Jun-15,jun,2015,Unprovoked,USA,,F,,N
11-Jun-15,jun,2015,Unprovoked,USA,Boogie boarding,F,13,N
07-Jun-15,jun,2015,Unprovoked,USA,Playing,M,11,N
05-Jun-15,jun,2015,Unprovoked,USA,Attempting to rescue a shark,F,17,N
01-Jun-15,jun,2015,Unprovoked,REUNION,Surfing,M,47,N
29-May-15,may,2015,Unprovoked,USA,Standing,F,14,N
29-May-15,may,2015,Unprovoked,USA,Wading,F,19,N
25-May-15,may,2015,Unprovoked,FRENCH POLYNESIA,Spearfishing,M,19,N
24-May-15,may,2015,Unprovoked,USA,Swimming,F,13,N
20-May-15,may,2015,Unprovoked,USA,Surfing,M,18,N
15-May-15,may,2015,Unprovoked,USA,,M,30,N
09-May-15,may,2015,Unprovoked,NEW CALEDONIA,Snorkeling,M,50,Y
07-May-15,may,2015,Unprovoked,USA,Swimming,M,,N
03-May-15,may,2015,Unprovoked,AUSTRALIA,Surfing,M,,N
02-May-15,may,2015,Unprovoked,SOUTH AFRICA,Diving,M,29,N
29-Apr-15,apr,2015,Unprovoked,USA,Snorkeling,F,65,Y
26-Apr-15,apr,2015,Unprovoked,USA,Wading,M,63,N
25-Apr-15,apr,2015,Unprovoked,AUSTRALIA,Surfing,M,26,N
24-Jun-15,jun,2015,Unprovoked,AUSTRALIA,Surf skiing ,M,71,N
13-Apr-15,apr,2015,Unprovoked,USA,Photographing the shark,M,48,N
11-Apr-15,apr,2015,Unprovoked,AUSTRALIA,Paddle boarding,M,,N
12-Apr-15,apr,2015,Unprovoked,REUNION,Surfing,M,13,Y
31-Mar-15,mar,2015,Invalid,BRAZIL,Surfing,M,23,N
03-Apr-15,apr,2015,Unprovoked,USA,Spearfishing,M,70,N
29-Mar-15,mar,2015,Invalid,ITALY,Diving,M,43,Y
26-Mar-15,mar,2015,Boat,SOUTH AFRICA,Kayak Fishing,M,36,N
21-Mar-15,mar,2015,Unprovoked,EGYPT,Swimming,M,52,Y
18-Mar-15,mar,2015,Unprovoked,USA,Standing / Snorkeling,M,58,N
16-Mar-15,mar,2015,Unprovoked,FRENCH POLYNESIA,Hand feeding sharks,M,9,N
11-Mar-15,mar,2015,Boat,AUSTRALIA,Fishing,M,,N
10-Mar-15,mar,2015,Provoked,MEXICO,Fishing,M,36,N
07-Mar-15,mar,2015,Unprovoked,FRENCH POLYNESIA,Sitting in the water,M,18 months,N
15-Feb-15,feb,2015,Boat,ATLANTIC OCEAN,Transatlantic Rowing,,,N
14-Feb-15,feb,2015,Unprovoked,REUNION,Swimming,F,22,Y
09-Feb-15,feb,2015,Unprovoked,AUSTRALIA,Surfing,M,41,Y
08-Feb-15,feb,2015,Unprovoked,AUSTRALIA,Surfing,M,35,N
05-Feb-15,feb,2015,Unprovoked,AUSTRALIA,Bodysurfing,M,,N
30-Jan-15,jan,2015,Boat,AUSTRALIA,Rowing,M,57,N
27-Jan-15,jan,2015,Provoked,USA,Shark fishing,M,20,N
24-Jan-15,jan,2015,Unprovoked,AUSTRALIA,Surfing,M,,N
19-Jan-15,jan,2015,Boat,USA,Fishing,M,,N
19-Jan-15,jan,2015,Invalid,AUSTRALIA,Surfing & filming dolphins,F,,N
17-Jan-15,jan,2015,Boat,AUSTRALIA,Fishing,M,,N
16-Jan-15,jan,2015,Unprovoked,AUSTRALIA,Filming,M,17,N
08-Jan-15,jan,2015,Invalid,USA,Swimming after falling overboard,M,38,N
06-Jan-15,jan,2015,Unprovoked,BAHAMAS,Snorkeling,F,34,N
03-Jan-15,jan,2015,Unprovoked,SOUTH AFRICA,Surfing,M,15,N
01-Jan-15,jan,2015,Unprovoked,USA,,M,12,N
29-Dec-14,dec,2014,Unprovoked,AUSTRALIA,Surfing,,,N
29-Dec-14,dec,2014,Unprovoked,AUSTRALIA,Spearfishing,M,17,Y
28-Dec-14,dec,2014,Sea Disaster,GREECE,,,,N
28-Dec-14,dec,2014,Invalid,SOUTH AFRICA,Swimming,,,N
28-Dec-14,dec,2014,Unprovoked,USA,Surfing,M,50,N
28-Dec-14,dec,2014,Provoked,AUSTRALIA,Fishing,M,40s,N
Reported 23-Dec-2014,dec,2014,Unprovoked,JAPAN,Diving / Filming,M,,N
15-Dec-14,dec,2014,Unprovoked,AUSTRALIA,Spearfishing,M,17,Y
Reported 03-Dec-2014,dec,2014,Provoked,SPAIN,Fishing for blue sharks,M,,N
29-Nov-14,nov,2014,Unprovoked,AUSTRALIA,Surfing,M,13,N
20-Nov-14,nov,2014,Provoked,MAURITIUS,Fishing,M,39,Y
19-Nov-14,nov,2014,Boat,AUSTRALIA,Fishing,M,,N
16-Nov-14,nov,2014,Unprovoked,USA,Surfing,M,44,N
Reported 17-Nov-2014,nov,2014,Boat,USA,,,,N
13-Nov-14,nov,2014,Unprovoked,USA,Snorkeling,M,53,N
10-Nov-14,nov,2014,Unprovoked,AUSTRALIA,Surfing,M,,N
08-Nov-14,nov,2014,Unprovoked,USA,Surfing,M,18,N
31-Oct-14,oct,2014,Unprovoked,USA,Surfing,F,34,N
29-Oct-14,oct,2014,Provoked,AUSTRALIA,Surfing,M,20,N
22-Oct-14,oct,2014,Unprovoked,USA,Stand-Up Paddleboarding,F,,N
20-Oct-14,oct,2014,Unprovoked,USA,Stand-Up Paddleboarding,M,,N
19-Oct-14,oct,2014,Boat,USA,Canoeing,F,,N
18-Oct-14,oct,2014,Unprovoked,USA,Surfing,M,,N
17-Oct-14,oct,2014,Unprovoked,AUSTRALIA,Surfing,F,13,N
14-Oct-14,oct,2014,Unprovoked,USA,Standing in inner tube,F,7,N
12-Oct-14,oct,2014,Unprovoked,USA,Body surfing or Boogie boarding,F,,N
07-Oct-14,oct,2014,Unprovoked,USA,Fishing,F,40,N
11-Oct-14,oct,2014,Boat,AUSTRALIA,Kayaking,M,,N
05-Oct-14,oct,2014,Unprovoked,USA,Surfing,M,29,N
05-Oct-14,oct,2014,Unprovoked,USA,Surfing,M,15,N
03-Oct-14,oct,2014,Boat,USA,Kayaking,M,,N
03-Oct-14,oct,2014,Boat,USA,Kayaking ,M,,N
02-Oct-14,oct,2014,Unprovoked,USA,Surfing,M,28,N
02-Oct-14,oct,2014,Unprovoked,AUSTRALIA,Surfing,M,23,N
21-Sep-14,sep,2014,Unprovoked,USA,Surfing,M,,N
Reported 12-Sep-2014,sep,2014,Unprovoked,FRENCH POLYNESIA,Feeding fish,F,36,N
13-Sep-14,sep,2014,Invalid,USA,Surfing,M,,N
09-Sep-14,sep,2014,Unprovoked,AUSTRALIA,Swimming,M,50,Y
06-Sep-14,sep,2014,Unprovoked,USA,Fishing ,M,43,N
03-Sep-14,sep,2014,Unprovoked,USA,Kayaking ,F,20s,N
02-Sep-14,sep,2014,Provoked,USA,Fishing,M,52,N
31-Aug-14,aug,2014,Unprovoked,USA,Body surfing,F,13,N
29-Aug-14,aug,2014,Unprovoked,USA,Surfing,M,17,N
29-Aug-14,aug,2014,Invalid,USA,,,,N
28-Aug-14,aug,2014,Provoked,USA,Fishing,M,33,N
27-Aug-14,aug,2014,Unprovoked,SPAIN,Swimming,F,30s,N
27-Aug-14,aug,2014,Unprovoked,USA,Surfing,M,29,N
27-Aug-14,aug,2014,Unprovoked,USA,Standing,F,,N
Reported 25-Aug-2014,aug,2014,Provoked,USA,Fishing for sharks,M,,N
24-Aug-14,aug,2014,Unprovoked,USA,Kite boarding,,,N
16-Aug-14,aug,2014,Unprovoked,AUSTRALIA,Spearfishing,M,31,N
12-Aug-14,aug,2014,Unprovoked,USA,Standing,M,,N
10-Aug-14,aug,2014,Unprovoked,USA,,M,26,N
09-Aug-14,aug,2014,Unprovoked,BAHAMAS,Spearfishing,M,,N
09-Aug-14,aug,2014,Unprovoked,USA,Swimming,F,10,N
08-Aug-14,aug,2014,Unprovoked,USA,Swimming,M,7,N
06-Aug-14,aug,2014,Unprovoked,USA,Boogie boarding,M,10,N
05-Aug-14,aug,2014,Unprovoked,USA,Swimming,F,45,N
02-Aug-14,aug,2014,Unprovoked,USA,Surfing,M,50s,N
02-Aug-14,aug,2014,Unprovoked,USA,Boogie boarding,M,8,N
01-Aug-14,aug,2014,Unprovoked,SOUTH AFRICA,Surfing,M,20,N
27-Jul-14,jul,2014,Unprovoked,USA,Swimming,M,Teen,N
22-Jul-14,jul,2014,Unprovoked,REUNION,Surfing,M,51,N
21-Jul-14,jul,2014,Unprovoked,USA,Standing,M,8,N
20-Jul-14,jul,2014,Unprovoked,SPAIN,Wading,,,N
16-Jul-14,jul,2014,Unprovoked,USA,Swimming,M,61,N
14-Jul-14,jul,2014,Unprovoked,USA,Swimming,M,39,N
13-Jul-14,jul,2014,Invalid,BAHAMAS,Shark diving,M,63,Y
12-Jul-14,jul,2014,Unprovoked,USA,Body surfing,M,,N
09-Jul-14,jul,2014,Unprovoked,USA,Surfing,M,14,N
05-Jul-14,jul,2014,Provoked,USA,Swimming,M,,N
05-Jul-14,jul,2014,Unprovoked,USA,Surfing,M,,N
03-Jul-14,jul,2014,Unprovoked,USA,Body surfing,M,19,N
Reported 27-Jun-2014,jun,2014,Boat,ST. MARTIN,Transatlantic Rowing,M,48,N
25-Jun-14,jun,2014,Unprovoked,BAHAMAS,Spearfishing,M,42,N
18-Jun-14,jun,2014,Unprovoked,AUSTRALIA,Surfing,M,,N
18-Jun-14,jun,2014,Unprovoked,AUSTRALIA,Body boarding,M,15,N
Reported 17-Jun-2014,jun,2014,Provoked,AUSTRALIA,Petting a shark,M,,N
09-Jun-14,jun,2014,Unprovoked,BRAZIL,Fishing,M,43,N
09-Jun-14,jun,2014,Unprovoked,USA,Standing,M,16,N
09-Jun-14,jun,2014,Unprovoked,AUSTRALIA,Body boarding,M,39,N
08-Jun-14,jun,2014,Unprovoked,JAPAN,Surfing,M,43,N
07-Jun-14,jun,2014,Unprovoked,USA,Kneeling in the water,F,14,N
01-Jun-14,jun,2014,Unprovoked,USA,Swimming,F,22,N
01-Jun-14,jun,2014,Unprovoked,AUSTRALIA,Surfing,M,,N
01-Jun-14,jun,2014,Unprovoked,USA,Tagging sharks,F,37,N
24-May-14,may,2014,Unprovoked,AUSTRALIA,Fell into the water,F,29,N
23-May-14,may,2014,Unprovoked,FRANCE,Scuba diving,M,,N
22-May-14,may,2014,Provoked,AUSTRALIA,Teasing a shark,M,10,N
20-Nov-15,nov,2015,Unprovoked,ECUADOR,Snorkeling,M,55,N
15-May-14,may,2014,Unprovoked,USA,Body boarding,F,38,N
14-May-14,may,2014,Unprovoked,AUSTRALIA,Surfing,M,35,N
13-May-14,may,2014,Unprovoked,USA,Wading,F,44,N
11-May-14,may,2014,Unprovoked,USA,Surfing,M,12,N
Reported 10-May-2014,may,2014,Invalid,USA,Diving,M,,N
06-May-14,may,2014,Unprovoked,USA,Swimming,F,40,N
01-May-14,may,2014,Unprovoked,USA,Surfing,M,23,N
24-Apr-14,apr,2014,Unprovoked,AUSTRALIA,Spearfishing,M,,N
22-Apr-14,apr,2014,Unprovoked,USA,Swimming,,42,N
15-Apr-14,apr,2014,Unprovoked,USA,Wading,M,25,N
Reported 12-Apr-2014,apr,2014,Boat,SOUTH AFRICA,Shark watching,,,N
12-Apr-14,apr,2014,Provoked,SOUTH AFRICA,Fishing,M,,N
04-Apr-14,apr,2014,Unprovoked,USA,Surfing,M,teen,N
04-Apr-14,apr,2014,Unprovoked,USA,Surfing,M,teen,N
03-Apr-14,apr,2014,Unprovoked,AUSTRALIA,Swimming,F,63,Y
29-Mar-14,mar,2014,Invalid,AUSTRALIA,Diving for lobsters,M,38,Y
22-Mar-14,mar,2014,Unprovoked,SOUTH AFRICA,Swimming,M,66,Y
22-Mar-14,mar,2014,Unprovoked,USA,Kite Surfing,M,,N
21-Mar-14,mar,2014,Unprovoked,USA,Surfing,M,9,N
18-Mar-14,mar,2014,Unprovoked,NEW CALEDONIA,Kite Surfing,M,42,N
18-Mar-14,mar,2014,Unprovoked,AUSTRALIA,Surfing,M,42,N
13-Mar-14,mar,2014,Invalid,CAYMAN ISLANDS,Scuba diving / culling lionfish,M,,N
18-Mar-14,mar,2014,Invalid,AUSTRALIA,,F,10,N
12-Mar-14,mar,2014,Unprovoked,AUSTRALIA,Swimming,M,,N
02-Mar-14,mar,2014,Unprovoked,USA,Surfing,M,21,N
20-Feb-14,feb,2014,Unprovoked,FRENCH POLYNESIA,Kitesurfing,M,21,N
Reported 17-Feb-2014,feb,2014,Boat,PAPUA NEW GUINEA,Sailing,M,21,N
08-Feb-14,feb,2014,Unprovoked,AUSTRALIA,Spearfishing / Free diving,M,28,Y
07-Feb-14,feb,2014,Provoked,TRINIDAD & TOBAGO,Fishing,M,,N
07-Feb-14,feb,2014,Unprovoked,NEW ZEALAND,Surfing,M,28,N
26-Jan-14,jan,2014,Provoked,AUSTRALIA,Fishing,M,,N
25-Jan-14,jan,2014,Unprovoked,NEW ZEALAND,Spearfishing,M,24,N
04-Jan-14,jan,2014,Sea Disaster,JAPAN,Sea disaster,M,31,N
25-Dec-13,dec,2013,Unprovoked,NEW CALEDONIA,Snorkeling,M,37,N
16-Dec-13,dec,2013,Unprovoked,SOUTH AFRICA,Surfing,M,19,N
13-Dec-13,dec,2013,Unprovoked,KIRIBATI,Attempting to remove fishing net from submerged object,M,35,N
